episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,13,13.0,13.0,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
1,33,20.0,16.5,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
2,74,41.0,24.666666666666668,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
3,91,17.0,22.75,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
4,119,28.0,23.8,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
5,150,31.0,25.0,,18.608226776123047,0.0476994514465332,1,,,,,0.654747,,37.079292,0.549625
6,172,22.0,24.571428571428573,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
7,189,17.0,23.625,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
8,200,11.0,22.22222222222222,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
9,245,45.0,24.5,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
10,272,27.0,24.727272727272727,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
11,293,21.0,24.416666666666668,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
12,308,15.0,23.692307692307693,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
13,356,48.0,25.428571428571427,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
14,373,17.0,24.866666666666667,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
15,382,9.0,23.875,,18.608226776123047,0.05061507225036621,1,,,,,0.654747,,37.079292,0.549625
16,395,13.0,23.235294117647058,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
17,431,36.0,23.944444444444443,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
18,446,15.0,23.473684210526315,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
19,475,29.0,23.75,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
20,492,17.0,23.428571428571427,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
21,501,9.0,22.772727272727273,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
22,520,19.0,22.608695652173914,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
23,540,20.0,22.5,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
24,562,22.0,22.48,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
25,609,47.0,23.423076923076923,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
26,627,18.0,23.22222222222222,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
27,649,22.0,23.178571428571427,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
28,670,21.0,23.103448275862068,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
29,691,21.0,23.033333333333335,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
30,708,17.0,22.838709677419356,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
31,720,12.0,22.5,,19.092638969421387,0.08815813064575195,2,,,,,0.664255,,39.092770,0.583032
32,736,16.0,22.303030303030305,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
33,748,12.0,22.0,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
34,783,35.0,22.37142857142857,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
35,828,45.0,23.0,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
36,840,12.0,22.7027027027027,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
37,859,19.0,22.605263157894736,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
38,878,19.0,22.512820512820515,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
39,903,25.0,22.575,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
40,913,10.0,22.26829268292683,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
41,926,13.0,22.047619047619047,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
42,965,39.0,22.441860465116278,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
43,1016,51.0,23.09090909090909,,18.65579096476237,0.13036274909973145,3,,,,,0.671539,,35.537155,0.466167
