episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9902,nan,0,0.1,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.984,nan,0,0.2,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9789,nan,0,0.3,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9727,nan,0,0.5,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9665,nan,0,0.6,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9615,nan,0,0.7,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9554,nan,0,0.8,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9504,nan,0,0.9,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9442,nan,0,1.0,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.938,nan,0,1.1,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9319,nan,0,1.2,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9271,nan,0,1.3,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9209,nan,0,1.5,10.0,10.0,10.0,1.0
15,796,183,209.8,0.9161,nan,0,1.6,10.0,10.0,10.0,1.0
16,843,185,208.25,0.9111,8.447176846590908,11,2.7,9.764474868774414,10.018659591674805,9.99716854095459,1.0097450017929077
17,902,232,209.64705882352942,0.9049,3.1553687334060667,26,4.2,9.992475509643555,10.163345336914062,10.131902694702148,1.0124561786651611
18,949,184,208.22222222222223,0.8999,1.5230563922474782,38,5.3,10.041814804077148,10.296747207641602,10.285898208618164,1.0082658529281616
19,996,185,207.0,0.895,3.2933905720710754,50,6.6,10.092403411865234,10.238812446594238,10.286017417907715,1.0207529067993164
20,1044,189,206.1,0.8899,2.125190698852142,62,7.8,10.44022274017334,10.351340293884277,10.407355308532715,1.0324679613113403
21,1116,285,211.25,0.8823,1.0435460990087853,80,9.6,10.625129699707031,10.587591171264648,10.504354476928711,1.044525384902954
22,1162,182,210.95,0.8775,1.8750960776074366,91,10.7,10.250470161437988,10.30685806274414,10.280477523803711,1.0546050071716309
23,1220,228,210.6,0.8713,0.7629889130592347,106,12.3,10.085965156555176,10.188228607177734,10.23025131225586,1.057346224784851
24,1267,186,210.5,0.8664,5.262990279631182,117,13.5,9.990217208862305,10.035468101501465,10.172126770019531,1.0605721473693848
25,1325,229,210.25,0.8602,4.703679323196411,132,15.0,9.98592758178711,10.048527717590332,10.154342651367188,1.0624922513961792
26,1372,184,207.95,0.8553,4.894011934598287,144,16.3,10.112335205078125,10.181580543518066,10.216734886169434,1.0599042177200317
27,1432,239,210.35,0.8489,4.922570482889811,159,17.9,10.262358665466309,10.411229133605957,10.302008628845215,1.0539535284042358
28,1479,185,208.2,0.844,0.8747319804335182,170,19.2,10.286759376525879,10.47376537322998,10.273679733276367,1.0533863306045532
29,1526,185,208.2,0.839,0.21221032560182115,182,20.5,10.298968315124512,10.444009780883789,10.253501892089844,1.0531777143478394
30,1574,188,205.9,0.834,4.387668172518413,194,21.8,10.430420875549316,10.567017555236816,10.423267364501953,1.0465368032455444
31,1632,229,205.9,0.8278,7.561644848187765,209,23.3,10.273602485656738,10.386642456054688,10.214693069458008,1.052796721458435
32,1679,187,203.8,0.8229,2.127133992585269,220,24.5,10.466477394104004,10.620628356933594,10.38388729095459,1.04575777053833
33,1737,231,206.25,0.8168,0.9995616137981415,235,26.1,10.521734237670898,10.666790008544922,10.40662956237793,1.042661190032959
34,1806,275,208.55,0.8095,1.5719484978300684,252,27.9,10.598190307617188,10.737645149230957,10.493315696716309,1.040828824043274
35,1865,234,211.1,0.8032,0.9075708333402872,267,29.4,10.599200248718262,10.753185272216797,10.497137069702148,1.0410226583480835
36,1913,188,211.25,0.7982,1.4532023295760155,279,30.7,10.377215385437012,10.567065238952637,10.302997589111328,1.044822335243225
37,1960,185,208.9,0.7932,0.8651221127559742,291,31.9,10.217756271362305,10.442939758300781,10.171722412109375,1.0473177433013916
38,2029,274,213.4,0.7859,0.5634533467099947,308,33.6,10.26162338256836,10.49221134185791,10.242850303649902,1.0469504594802856
39,2075,183,213.3,0.7811,0.6324994429437951,319,34.6,10.309038162231445,10.521261215209961,10.284684181213379,1.0462881326675415
40,2146,280,217.85,0.7736,0.8113374746559808,337,36.4,10.322267532348633,10.51982307434082,10.246686935424805,1.0469768047332764
41,2193,185,212.85,0.7686,0.48664049214373034,349,37.7,10.310059547424316,10.523090362548828,10.248296737670898,1.0471833944320679
42,2251,228,215.15,0.7625,0.4064233495321657,363,39.2,10.327125549316406,10.520930290222168,10.272185325622559,1.0464597940444946
43,2308,227,215.1,0.7565,1.495227318474402,378,40.7,10.420938491821289,10.608800888061523,10.352961540222168,1.04535973072052
44,2355,185,215.05,0.7515,1.5970050692558289,389,41.8,10.540535926818848,10.722929954528809,10.45324420928955,1.0435656309127808
45,2402,185,212.85,0.7466,1.0018587360779445,401,43.0,10.439634323120117,10.616888046264648,10.365164756774902,1.0460630655288696
46,2449,184,212.85,0.7416,1.8781322141488392,413,44.3,10.528420448303223,10.710182189941406,10.451122283935547,1.0439637899398804
47,2496,185,210.15,0.7366,1.3751982925459743,425,45.5,10.580819129943848,10.759414672851562,10.495506286621094,1.0426748991012573
48,2543,185,210.15,0.7317,1.5942064008929513,436,46.7,10.384501457214355,10.631213188171387,10.393627166748047,1.0458890199661255
49,2604,241,212.95,0.7252,1.1385243405820802,452,48.2,10.184184074401855,10.44551944732666,10.222180366516113,1.0494860410690308
50,2674,276,217.35,0.7179,0.8642671125776628,469,50.1,10.325138092041016,10.528761863708496,10.227120399475098,1.0489493608474731
51,2720,182,215.0,0.713,1.0433164229616523,481,51.3,10.350850105285645,10.56783390045166,10.282431602478027,1.048226237297058
52,2767,185,214.9,0.708,0.4209885403344577,492,52.5,10.34052848815918,10.566261291503906,10.326606750488281,1.0475049018859863
53,2814,185,212.6,0.7031,1.2711474834116718,504,53.8,10.333263397216797,10.508333206176758,10.307828903198242,1.0470397472381592
54,2860,182,207.95,0.6982,0.4721734340613087,516,55.2,10.31004810333252,10.480724334716797,10.261810302734375,1.047890543937683
55,2920,236,208.05,0.6919,0.7388836850722631,531,56.9,10.327628135681152,10.521632194519043,10.259490013122559,1.048362374305725
56,2967,187,208.0,0.6869,0.7923208740963177,542,58.1,10.335700988769531,10.533265113830566,10.270702362060547,1.0482131242752075
57,3014,185,208.0,0.682,0.7303591497087231,554,59.3,10.315114974975586,10.52518081665039,10.273637771606445,1.0483373403549194
58,3062,191,203.85,0.6769,0.6503383672485749,566,60.6,10.297188758850098,10.511663436889648,10.304376602172852,1.0477614402770996
59,3109,185,203.95,0.6719,0.396127632043014,578,61.9,10.344806671142578,10.536873817443848,10.312796592712402,1.0472954511642456
60,3156,185,199.2,0.667,0.7411086880019866,590,63.3,10.341889381408691,10.553653717041016,10.279308319091797,1.0483382940292358
61,3215,235,201.7,0.6607,0.24323917429761163,604,64.8,10.334466934204102,10.541199684143066,10.301692962646484,1.0477943420410156
62,3273,230,201.8,0.6546,0.8865203543566167,619,66.3,10.314682960510254,10.513652801513672,10.306994438171387,1.047537088394165
63,3321,190,199.95,0.6496,0.9933836610677341,631,67.7,10.309593200683594,10.51778793334961,10.268284797668457,1.0484980344772339
