episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9902,nan,0,0.2,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.984,nan,0,0.3,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9789,nan,0,0.5,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9727,nan,0,0.7,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9665,nan,0,0.9,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9615,nan,0,1.0,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9554,nan,0,1.1,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9504,nan,0,1.3,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9442,nan,0,1.5,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.938,nan,0,1.7,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9319,nan,0,2.0,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9271,nan,0,2.1,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9209,nan,0,2.3,10.0,10.0,10.0,1.0
15,796,183,209.8,0.9161,nan,0,2.5,10.0,10.0,10.0,1.0
16,843,185,208.25,0.9111,5.611081480979919,11,5.4,10.22482967376709,9.906764030456543,10.224037170410156,1.0026426315307617
17,901,231,209.58823529411765,0.905,2.4004176621635755,26,9.5,10.02060604095459,9.729303359985352,9.971099853515625,1.015931248664856
18,948,185,208.22222222222223,0.9,3.343238413333893,38,12.8,10.023933410644531,9.782488822937012,9.88751220703125,1.019826054573059
19,995,186,207.05263157894737,0.8951,3.5322239832444624,49,15.8,10.177302360534668,10.044883728027344,10.083942413330078,1.0312384366989136
20,1067,286,211.0,0.8875,3.968253175417582,67,20.5,10.21690845489502,10.109774589538574,10.153347969055176,1.0353665351867676
21,1114,185,211.15,0.8825,3.449905256430308,79,23.7,10.155312538146973,10.014209747314453,10.193536758422852,1.0305536985397339
