episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9902,nan,0,0.2,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.984,nan,0,0.3,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9789,nan,0,0.4,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9727,nan,0,0.5,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9665,nan,0,0.7,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9615,nan,0,0.8,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9554,nan,0,0.9,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9504,nan,0,1.1,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9442,nan,0,1.3,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.938,nan,0,1.4,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9319,nan,0,1.6,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9271,nan,0,1.7,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9209,nan,0,1.8,10.0,10.0,10.0,1.0
15,796,182,209.73333333333332,0.9161,nan,0,2.0,10.0,10.0,10.0,1.0
16,843,185,208.1875,0.9111,0.6622239328836176,11,3.7,9.967805862426758,10.040040016174316,9.771940231323242,1.003391146659851
17,901,231,209.52941176470588,0.905,0.4517529532313347,26,6.1,10.008539199829102,9.932677268981934,9.80406379699707,0.9986646771430969
18,960,235,210.94444444444446,0.8988,0.5345757166544597,41,8.6,10.145173072814941,10.117469787597656,9.86574935913086,0.9920613169670105
19,1017,227,211.78947368421052,0.8928,0.642487668033157,55,10.8,9.856523513793945,9.843191146850586,9.675973892211914,1.0025115013122559
20,1063,182,210.3,0.8879,0.745003725994717,66,12.8,9.831972122192383,9.78091812133789,9.640603065490723,1.0039896965026855
21,1110,184,210.4,0.8829,0.2645975682729234,78,14.7,9.91043758392334,9.822807312011719,9.640032768249512,1.0020865201950073
