episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,42,167,167.0,0.9957,nan,0,0.1,10.0,10.0,10.0,1.0
2,84,167,167.0,0.9912,nan,0,0.3,10.0,10.0,10.0,1.0
3,126,167,167.0,0.9868,nan,0,0.5,10.0,10.0,10.0,1.0
4,169,169,167.5,0.9823,nan,0,0.6,10.0,10.0,10.0,1.0
5,211,167,167.4,0.9778,nan,0,0.8,10.0,10.0,10.0,1.0
6,253,167,167.33333333333334,0.9734,nan,0,0.9,10.0,10.0,10.0,1.0
7,304,203,172.42857142857142,0.968,nan,0,1.1,10.0,10.0,10.0,1.0
8,346,167,171.75,0.9636,nan,0,1.3,10.0,10.0,10.0,1.0
9,389,171,171.66666666666666,0.959,nan,0,1.4,10.0,10.0,10.0,1.0
10,432,171,171.6,0.9545,nan,0,1.5,10.0,10.0,10.0,1.0
11,474,167,171.1818181818182,0.9501,nan,0,1.7,10.0,10.0,10.0,1.0
12,537,251,177.83333333333334,0.9434,nan,0,2.1,10.0,10.0,10.0,1.0
13,579,167,177.0,0.939,nan,0,2.3,10.0,10.0,10.0,1.0
14,622,170,176.5,0.9345,nan,0,2.4,10.0,10.0,10.0,1.0
15,664,167,175.86666666666667,0.93,nan,0,2.5,10.0,10.0,10.0,1.0
16,708,172,175.625,0.9254,nan,0,2.7,10.0,10.0,10.0,1.0
17,750,167,175.11764705882354,0.9209,nan,0,2.9,10.0,10.0,10.0,1.0
18,792,167,174.66666666666666,0.9165,nan,0,3.0,10.0,10.0,10.0,1.0
19,835,171,174.47368421052633,0.912,2.2911946839756436,9,5.2,10.211254119873047,9.766820907592773,10.245360374450684,0.9987707734107971
20,877,165,174.0,0.9075,1.984489457173781,20,7.4,10.408526420593262,9.580214500427246,10.560893058776855,0.9981610178947449
21,933,220,176.65,0.9016,2.2313767996217524,34,10.1,10.538360595703125,9.372798919677734,10.823680877685547,1.0005302429199219
22,995,246,180.6,0.8951,2.646372467279434,49,13.1,10.19552993774414,8.987175941467285,10.72409725189209,1.002543568611145
23,1037,167,180.6,0.8906,1.0959998911077327,60,15.2,9.890556335449219,8.840194702148438,10.748547554016113,1.001590371131897
24,1090,208,182.55,0.8851,0.5324353065628272,73,17.6,9.61088752746582,8.752142906188965,10.750919342041016,1.001083254814148
25,1142,205,184.45,0.8796,0.6478897344607574,86,19.9,9.430702209472656,8.711264610290527,10.705124855041504,1.001214623451233
26,1184,167,184.45,0.8751,0.8200890586118806,97,21.8,9.35713005065918,8.769957542419434,10.704322814941406,1.000137209892273
27,1226,167,182.65,0.8707,0.502959630638361,107,23.9,9.440032958984375,8.832906723022461,10.7160062789917,0.9995773434638977
28,1268,165,182.55,0.8663,1.4127026789567687,118,25.7,9.565735816955566,8.95678424835205,10.721570014953613,0.9987332820892334
29,1310,165,182.25,0.8618,2.219269932061434,128,27.4,9.678317070007324,9.059476852416992,10.742380142211914,0.9979506134986877
30,1352,167,182.05,0.8574,1.3074721409515901,139,29.5,9.798245429992676,9.097155570983887,10.763370513916016,0.99764084815979
