episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,0.0,0.0,0.0,0.0
2,94,188,185.0,0.9902,nan,0,0.1,0.0,0.0,0.0,0.0
3,152,231,200.33333333333334,0.9841,nan,0,0.2,0.0,0.0,0.0,0.0
4,210,229,207.5,0.9779,nan,0,0.3,0.0,0.0,0.0,0.0
5,268,231,212.2,0.9718,nan,0,0.4,0.0,0.0,0.0,0.0
6,351,329,231.66666666666666,0.9631,nan,0,0.6,0.0,0.0,0.0,0.0
7,397,183,224.71428571428572,0.9582,nan,0,0.7,0.0,0.0,0.0,0.0
8,444,185,219.75,0.9532,nan,0,0.8,0.0,0.0,0.0,0.0
9,490,182,215.55555555555554,0.9484,nan,0,0.9,0.0,0.0,0.0,0.0
10,537,185,212.5,0.9434,nan,0,0.9,0.0,0.0,0.0,0.0
11,595,229,214.0,0.9373,nan,0,1.0,0.0,0.0,0.0,0.0
12,653,231,215.41666666666666,0.9312,nan,0,1.1,0.0,0.0,0.0,0.0
13,700,187,213.23076923076923,0.9262,nan,0,1.2,0.0,0.0,0.0,0.0
14,759,232,214.57142857142858,0.92,nan,0,1.4,0.0,0.0,0.0,0.0
15,817,230,215.6,0.9139,0.10001506879925728,5,1.7,0.0,0.0,0.0,0.0
16,864,184,213.625,0.9089,0.09717906111230452,17,2.3,0.0,0.0,0.0,0.0
17,911,184,211.88235294117646,0.9039,0.07511844858527184,28,2.8,0.0,0.0,0.0,0.0
18,958,184,210.33333333333334,0.899,0.05873314617201686,40,3.4,0.0,0.0,0.0,0.0
19,1017,233,211.52631578947367,0.8928,0.06304964746038119,55,4.3,0.0,0.0,0.0,0.0
20,1063,182,210.05,0.8879,0.030105746605179527,66,4.9,0.0,0.0,0.0,0.0
21,1122,235,212.7,0.8817,0.09288294759268562,81,5.7,0.0,0.0,0.0,0.0
22,1169,184,212.5,0.8767,0.04889277423111101,93,6.4,0.0,0.0,0.0,0.0
23,1229,238,212.85,0.8704,0.08944609885414441,108,7.5,0.0,0.0,0.0,0.0
24,1288,233,213.05,0.8641,0.030271513294428586,123,8.4,0.0,0.0,0.0,0.0
25,1336,189,210.95,0.8591,0.008691784862700539,135,9.0,0.0,0.0,0.0,0.0
26,1384,190,204.0,0.854,0.08497622010690975,147,9.6,0.0,0.0,0.0,0.0
27,1442,228,206.25,0.8479,0.06414401970271554,161,10.3,0.0,0.0,0.0,0.0
28,1490,189,206.45,0.8428,0.04290862730704248,173,10.9,0.0,0.0,0.0,0.0
29,1537,185,206.6,0.8379,0.08990320035566886,185,11.5,0.0,0.0,0.0,0.0
30,1584,187,206.7,0.8329,0.06817674516544987,197,12.2,0.0,0.0,0.0,0.0
31,1631,185,204.5,0.8279,0.021010767499154263,208,12.9,0.0,0.0,0.0,0.0
32,1679,191,202.5,0.8229,0.01261842087842524,220,13.5,0.0,0.0,0.0,0.0
33,1726,184,202.35,0.8179,0.013423186872387305,232,14.2,0.0,0.0,0.0,0.0
34,1785,233,202.4,0.8117,0.06525832877572005,247,15.1,0.0,0.0,0.0,0.0
35,1832,185,200.15,0.8067,0.0582505795173347,259,15.9,0.0,0.0,0.0,0.0
36,1879,185,200.2,0.8018,0.02071605296805501,270,16.5,0.0,0.0,0.0,0.0
37,1925,182,200.1,0.7969,0.011474117864660608,282,17.4,0.0,0.0,0.0,0.0
38,1972,187,200.25,0.792,0.054551567271118984,294,18.0,0.0,0.0,0.0,0.0
39,2042,278,202.5,0.7846,0.03590993288055282,311,19.1,0.0,0.0,0.0,0.0
40,2089,184,202.6,0.7796,0.06338708882685751,323,19.8,0.0,0.0,0.0,0.0
41,2137,188,200.25,0.7745,0.07550626372297604,335,20.6,0.0,0.0,0.0,0.0
42,2184,185,200.3,0.7696,0.029782874664912622,347,21.2,0.0,0.0,0.0,0.0
