episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,0.0,0.0,0.0,0.0
2,94,188,185.0,0.9902,nan,0,0.1,0.0,0.0,0.0,0.0
3,153,235,201.66666666666666,0.984,nan,0,0.2,0.0,0.0,0.0,0.0
4,201,188,198.25,0.9789,nan,0,0.3,0.0,0.0,0.0,0.0
5,260,234,205.4,0.9727,nan,0,0.4,0.0,0.0,0.0,0.0
6,318,230,209.5,0.9665,nan,0,0.5,0.0,0.0,0.0,0.0
7,366,191,206.85714285714286,0.9615,nan,0,0.5,0.0,0.0,0.0,0.0
8,424,228,209.5,0.9554,nan,0,0.6,0.0,0.0,0.0,0.0
9,471,185,206.77777777777777,0.9504,nan,0,0.7,0.0,0.0,0.0,0.0
10,530,234,209.5,0.9442,nan,0,0.8,0.0,0.0,0.0,0.0
11,588,229,211.27272727272728,0.938,nan,0,0.9,0.0,0.0,0.0,0.0
12,646,229,212.75,0.9319,nan,0,1.0,0.0,0.0,0.0,0.0
13,692,182,210.3846153846154,0.9271,nan,0,1.1,0.0,0.0,0.0,0.0
14,750,229,211.71428571428572,0.9209,nan,0,1.2,0.0,0.0,0.0,0.0
15,796,183,209.8,0.9161,nan,0,1.3,0.0,0.0,0.0,0.0
16,843,185,208.25,0.9111,0.0827013139020313,11,1.8,0.0,0.0,0.0,0.0
17,901,231,209.58823529411765,0.905,0.08457588131229082,26,2.6,0.0,0.0,0.0,0.0
18,959,231,210.77777777777777,0.8989,0.0335375875500696,40,3.2,0.0,0.0,0.0,0.0
19,1017,230,211.78947368421052,0.8928,0.07433671839535236,55,4.0,0.0,0.0,0.0,0.0
20,1063,182,210.3,0.8879,0.07481097929518331,66,4.5,0.0,0.0,0.0,0.0
21,1121,231,212.75,0.8818,0.033598188497126105,81,5.2,0.0,0.0,0.0,0.0
22,1169,189,212.8,0.8767,0.0680264354062577,93,5.8,0.0,0.0,0.0,0.0
23,1237,270,214.55,0.8695,0.024149847299079683,110,6.6,0.0,0.0,0.0,0.0
24,1284,185,214.4,0.8646,0.007421835301405129,122,7.1,0.0,0.0,0.0,0.0
25,1332,190,212.2,0.8595,0.11034587025642395,134,7.7,0.0,0.0,0.0,0.0
26,1379,186,210.0,0.8545,0.04912452179599892,145,8.3,0.0,0.0,0.0,0.0
27,1425,182,209.55,0.8497,0.026172845372154068,157,8.9,0.0,0.0,0.0,0.0
28,1472,185,207.4,0.8447,0.1074180578192075,169,9.6,0.0,0.0,0.0,0.0
29,1520,188,207.55,0.8397,0.03891763580031693,181,10.2,0.0,0.0,0.0,0.0
30,1567,187,205.2,0.8347,0.022039050024680117,192,10.8,0.0,0.0,0.0,0.0
31,1625,230,205.25,0.8286,0.0627579777763458,207,11.5,0.0,0.0,0.0,0.0
32,1672,185,203.05,0.8236,0.08458068190763395,219,12.2,0.0,0.0,0.0,0.0
33,1719,185,203.2,0.8187,0.0324244751510295,230,12.7,0.0,0.0,0.0,0.0
34,1777,228,203.15,0.8125,0.016216681237953404,245,13.4,0.0,0.0,0.0,0.0
35,1824,184,203.2,0.8076,0.01499095567517846,257,14.1,0.0,0.0,0.0,0.0
36,1881,227,205.3,0.8016,0.12716335617005825,271,14.8,0.0,0.0,0.0,0.0
37,1928,185,203.0,0.7966,0.016889518747727077,283,15.5,0.0,0.0,0.0,0.0
38,1974,183,200.6,0.7917,0.07121310710102659,294,16.0,0.0,0.0,0.0,0.0
39,2033,234,200.8,0.7855,0.05652389594664176,309,16.8,0.0,0.0,0.0,0.0
40,2103,279,205.65,0.7781,0.020070007892654222,326,17.6,0.0,0.0,0.0,0.0
41,2150,185,203.35,0.7732,0.058750471451882426,338,18.2,0.0,0.0,0.0,0.0
42,2233,328,210.3,0.7644,0.05824930509108873,359,19.3,0.0,0.0,0.0,0.0
