episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,0.0,0.0,0.0,0.0
2,94,188,185.0,0.9902,nan,0,0.2,0.0,0.0,0.0,0.0
3,153,235,201.66666666666666,0.984,nan,0,0.2,0.0,0.0,0.0,0.0
4,201,188,198.25,0.9789,nan,0,0.3,0.0,0.0,0.0,0.0
5,260,234,205.4,0.9727,nan,0,0.4,0.0,0.0,0.0,0.0
6,318,230,209.5,0.9665,nan,0,0.5,0.0,0.0,0.0,0.0
7,366,191,206.85714285714286,0.9615,nan,0,0.6,0.0,0.0,0.0,0.0
8,424,228,209.5,0.9554,nan,0,0.7,0.0,0.0,0.0,0.0
9,471,185,206.77777777777777,0.9504,nan,0,0.8,0.0,0.0,0.0,0.0
10,530,234,209.5,0.9442,nan,0,0.9,0.0,0.0,0.0,0.0
11,588,229,211.27272727272728,0.938,nan,0,1.0,0.0,0.0,0.0,0.0
12,646,229,212.75,0.9319,nan,0,1.1,0.0,0.0,0.0,0.0
13,692,182,210.3846153846154,0.9271,nan,0,1.2,0.0,0.0,0.0,0.0
14,750,229,211.71428571428572,0.9209,nan,0,1.3,0.0,0.0,0.0,0.0
15,796,183,209.8,0.9161,nan,0,1.4,0.0,0.0,0.0,0.0
16,843,185,208.25,0.9111,0.08270131322470578,11,1.9,0.0,0.0,0.0,0.0
17,901,231,209.58823529411765,0.905,0.0845758846650521,26,2.7,0.0,0.0,0.0,0.0
18,959,231,210.77777777777777,0.8989,0.03353759194059031,40,3.5,0.0,0.0,0.0,0.0
19,1017,230,211.78947368421052,0.8928,0.07433257761100928,55,4.5,0.0,0.0,0.0,0.0
20,1063,182,210.3,0.8879,0.07466155620799823,66,5.1,0.0,0.0,0.0,0.0
21,1121,231,212.75,0.8818,0.033458480952928464,81,6.0,0.0,0.0,0.0,0.0
22,1169,189,212.8,0.8767,0.044417741727860026,93,6.6,0.0,0.0,0.0,0.0
23,1237,270,214.55,0.8695,0.04053945275133147,110,7.7,0.0,0.0,0.0,0.0
24,1284,184,214.35,0.8646,0.028222485018583637,122,8.4,0.0,0.0,0.0,0.0
25,1332,190,212.15,0.8595,0.0842675215875109,134,9.3,0.0,0.0,0.0,0.0
26,1379,187,210.0,0.8545,0.02970754676921801,145,10.0,0.0,0.0,0.0,0.0
27,1425,183,209.6,0.8497,0.051046097689929106,157,10.8,0.0,0.0,0.0,0.0
28,1472,186,207.5,0.8447,0.08609259066482385,169,11.5,0.0,0.0,0.0,0.0
29,1519,187,207.6,0.8398,0.030741611410948364,180,12.2,0.0,0.0,0.0,0.0
30,1567,191,205.45,0.8347,0.07821065528939168,192,13.0,0.0,0.0,0.0,0.0
31,1639,286,208.3,0.8271,0.053320134369035564,210,14.2,0.0,0.0,0.0,0.0
32,1698,232,208.45,0.8209,0.026115514361299573,225,15.1,0.0,0.0,0.0,0.0
33,1745,185,208.6,0.8159,0.1052541503449902,237,15.9,0.0,0.0,0.0,0.0
34,1793,191,206.7,0.8108,0.054202569338182606,249,16.6,0.0,0.0,0.0,0.0
35,1840,185,206.8,0.8059,0.02954916099164014,261,17.4,0.0,0.0,0.0,0.0
36,1887,185,206.8,0.8009,0.0696401068707928,272,18.1,0.0,0.0,0.0,0.0
37,1934,185,204.5,0.796,0.09999630910654862,284,18.8,0.0,0.0,0.0,0.0
38,1981,185,202.2,0.791,0.033431306947022676,296,19.6,0.0,0.0,0.0,0.0
39,2028,185,199.95,0.786,0.022646792562833678,308,20.3,0.0,0.0,0.0,0.0
40,2076,191,200.4,0.781,0.013756040711693155,320,20.9,0.0,0.0,0.0,0.0
41,2123,187,198.2,0.776,0.005983585634649816,331,21.5,0.0,0.0,0.0,0.0
42,2170,185,198.0,0.7711,0.005856465782320204,343,22.2,0.0,0.0,0.0,0.0
43,2227,225,195.75,0.765,0.00421076409059294,357,23.1,0.0,0.0,0.0,0.0
44,2275,188,195.95,0.76,0.007667078039958142,369,23.9,0.0,0.0,0.0,0.0
45,2322,186,195.75,0.755,0.0046431929561852785,381,24.7,0.0,0.0,0.0,0.0
46,2370,191,195.95,0.7499,0.007829992444385425,393,25.6,0.0,0.0,0.0,0.0
47,2416,182,195.9,0.7451,0.013112796759135866,405,26.2,0.0,0.0,0.0,0.0
48,2488,285,200.85,0.7375,0.0073443269704714315,423,27.2,0.0,0.0,0.0,0.0
49,2535,187,200.85,0.7325,0.018243088049613023,434,27.9,0.0,0.0,0.0,0.0
50,2581,182,200.4,0.7277,0.12048547125111024,446,28.6,0.0,0.0,0.0,0.0
51,2628,185,195.35,0.7227,0.058118835324421525,458,29.2,0.0,0.0,0.0,0.0
52,2674,182,192.85,0.7179,0.029378839175809513,469,30.1,0.0,0.0,0.0,0.0
53,2720,182,192.7,0.713,0.0045004965116580324,481,30.8,0.0,0.0,0.0,0.0
54,2767,185,192.4,0.708,0.009798902487752705,492,31.6,0.0,0.0,0.0,0.0
55,2838,283,197.3,0.7005,0.004765834951184742,510,33.0,0.0,0.0,0.0,0.0
56,2908,279,202.0,0.6931,0.009403553921502963,528,34.2,0.0,0.0,0.0,0.0
57,2967,235,204.5,0.6869,0.0023604003207375562,542,35.3,0.0,0.0,0.0,0.0
58,3014,185,204.5,0.682,0.00798464860599779,554,36.2,0.0,0.0,0.0,0.0
59,3084,278,209.15,0.6746,0.0036634915462248805,572,37.4,0.0,0.0,0.0,0.0
60,3177,369,218.05,0.6648,0.01772153169464297,595,38.9,0.0,0.0,0.0,0.0
61,3236,233,220.35,0.6585,0.0024318224081071095,610,40.1,0.0,0.0,0.0,0.0
62,3282,182,220.2,0.6537,0.00883927502119067,621,40.9,0.0,0.0,0.0,0.0
63,3341,233,220.6,0.6474,0.004634581980644726,636,41.9,0.0,0.0,0.0,0.0
64,3401,236,223.0,0.6411,0.004368707956003467,651,42.9,0.0,0.0,0.0,0.0
65,3462,241,225.75,0.6347,0.004441348968786466,666,43.9,0.0,0.0,0.0,0.0
66,3521,235,227.95,0.6284,0.00872294908240292,681,44.9,0.0,0.0,0.0,0.0
67,3604,328,235.25,0.6197,0.01224335616409787,702,46.4,0.0,0.0,0.0,0.0
68,3652,188,230.4,0.6146,0.015715631690303173,714,47.2,0.0,0.0,0.0,0.0
69,3699,185,230.3,0.6097,0.006076528580954552,725,47.9,0.0,0.0,0.0,0.0
70,3758,234,232.9,0.6034,0.012781709282232137,740,49.1,0.0,0.0,0.0,0.0
71,3816,230,235.15,0.5973,0.01053774521375696,755,50.3,0.0,0.0,0.0,0.0
72,3863,185,235.3,0.5923,0.011752441714634188,766,51.2,0.0,0.0,0.0,0.0
73,3911,188,235.6,0.5873,0.020954135759211567,778,52.3,0.0,0.0,0.0,0.0
74,3959,189,235.8,0.5822,0.013223231893789489,790,53.4,0.0,0.0,0.0,0.0
75,4017,228,233.05,0.5761,0.014934400767864038,805,54.7,0.0,0.0,0.0,0.0
76,4063,182,228.2,0.5712,0.019917486926053905,816,55.6,0.0,0.0,0.0,0.0
77,4110,185,225.7,0.5663,0.00817996471596416,828,56.4,0.0,0.0,0.0,0.0
78,4156,182,225.55,0.5614,0.005699549365090206,840,57.2,0.0,0.0,0.0,0.0
