episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,42,167,167.0,0.9903,nan,0,0.1,0.0,0.0,0.0,0.0
2,84,167,167.0,0.9803,nan,0,0.1,0.0,0.0,0.0,0.0
3,126,167,167.0,0.9703,nan,0,0.2,0.0,0.0,0.0,0.0
4,168,167,167.0,0.9603,nan,0,0.3,0.0,0.0,0.0,0.0
5,211,170,167.6,0.9501,nan,0,0.3,0.0,0.0,0.0,0.0
6,266,219,176.16666666666666,0.9371,nan,0,0.4,0.0,0.0,0.0,0.0
7,308,167,174.85714285714286,0.9271,nan,0,0.5,0.0,0.0,0.0,0.0
8,350,167,173.875,0.9171,nan,0,0.6,0.0,0.0,0.0,0.0
9,404,213,178.22222222222223,0.9043,nan,0,0.6,0.0,0.0,0.0,0.0
10,446,167,177.1,0.8943,nan,0,0.7,0.0,0.0,0.0,0.0
11,488,167,176.1818181818182,0.8843,nan,0,0.8,0.0,0.0,0.0,0.0
12,531,171,175.75,0.8741,nan,0,0.8,0.0,0.0,0.0,0.0
13,583,206,178.07692307692307,0.8618,nan,0,0.9,0.0,0.0,0.0,0.0
14,625,167,177.28571428571428,0.8518,nan,0,1.0,0.0,0.0,0.0,0.0
15,667,167,176.6,0.8418,nan,0,1.1,0.0,0.0,0.0,0.0
16,710,171,176.25,0.8316,nan,0,1.2,0.0,0.0,0.0,0.0
17,752,167,175.7058823529412,0.8216,nan,0,1.3,0.0,0.0,0.0,0.0
18,806,215,177.88888888888889,0.8088,0.11831039562821388,2,1.4,0.0,0.0,0.0,0.0
19,848,167,177.31578947368422,0.7988,0.0714328603988344,13,1.9,0.0,0.0,0.0,0.0
20,890,167,176.8,0.7889,0.04977796673774719,23,2.3,0.0,0.0,0.0,0.0
21,955,258,181.35,0.7734,0.02720958524150774,39,2.9,0.0,0.0,0.0,0.0
22,997,167,181.35,0.7634,0.08526211435144598,50,3.4,0.0,0.0,0.0,0.0
23,1049,205,183.25,0.7511,0.04890983494428488,63,3.9,0.0,0.0,0.0,0.0
24,1091,166,183.2,0.7411,0.04269762020558119,73,4.3,0.0,0.0,0.0,0.0
25,1133,167,183.05,0.7311,0.05162621323357929,84,4.9,0.0,0.0,0.0,0.0
26,1176,171,180.65,0.7209,0.03338160526684739,95,5.4,0.0,0.0,0.0,0.0
27,1218,165,180.55,0.711,0.025063127838075162,105,5.8,0.0,0.0,0.0,0.0
28,1260,167,180.55,0.701,0.03458846142430874,116,6.3,0.0,0.0,0.0,0.0
29,1313,208,180.3,0.6884,0.06218673467922669,129,6.8,0.0,0.0,0.0,0.0
30,1355,167,180.3,0.6784,0.047197198309004304,139,7.2,0.0,0.0,0.0,0.0
31,1397,167,180.3,0.6684,0.0629720196805217,150,7.7,0.0,0.0,0.0,0.0
32,1439,167,180.1,0.6585,0.020994143560528755,160,8.1,0.0,0.0,0.0,0.0
33,1483,172,178.4,0.648,0.04719221851238134,171,8.5,0.0,0.0,0.0,0.0
34,1526,171,178.6,0.6378,0.08267428522760217,182,9.0,0.0,0.0,0.0,0.0
35,1568,167,178.6,0.6278,0.04447045930745927,193,9.4,0.0,0.0,0.0,0.0
36,1611,171,178.6,0.6176,0.0651523232460022,203,9.9,0.0,0.0,0.0,0.0
37,1653,167,178.6,0.6077,0.04374314014884559,214,10.3,0.0,0.0,0.0,0.0
38,1716,249,180.3,0.5927,0.05448153964243829,230,11.0,0.0,0.0,0.0,0.0
39,1759,170,180.45,0.5825,0.015582877583801747,240,11.4,0.0,0.0,0.0,0.0
40,1811,207,182.45,0.5701,0.016671474414089553,253,12.0,0.0,0.0,0.0,0.0
41,1854,171,178.1,0.5599,0.05703461394560608,264,12.4,0.0,0.0,0.0,0.0
42,1897,171,178.3,0.5497,0.08488408984108405,275,12.9,0.0,0.0,0.0,0.0
43,1939,167,176.4,0.5397,0.041243753395974636,285,13.3,0.0,0.0,0.0,0.0
44,1981,165,176.35,0.5297,0.017449776134030384,296,13.8,0.0,0.0,0.0,0.0
45,2023,165,176.25,0.5198,0.010374498460441828,306,14.3,0.0,0.0,0.0,0.0
46,2065,165,175.95,0.5098,0.010787694608469874,317,14.8,0.0,0.0,0.0,0.0
47,2107,165,175.95,0.4998,0.09250841306056827,327,15.3,0.0,0.0,0.0,0.0
48,2149,167,175.95,0.4899,0.07202905585820024,338,15.8,0.0,0.0,0.0,0.0
49,2191,165,173.8,0.4799,0.058544686529785395,348,16.3,0.0,0.0,0.0,0.0
50,2243,205,175.7,0.4675,0.042040194456393905,361,16.9,0.0,0.0,0.0,0.0
51,2285,167,175.7,0.4576,0.022673964669758625,372,17.4,0.0,0.0,0.0,0.0
52,2327,165,175.6,0.4476,0.04988199435174465,382,17.9,0.0,0.0,0.0,0.0
53,2370,171,175.55,0.4374,0.07577068257060918,393,18.4,0.0,0.0,0.0,0.0
54,2412,167,175.35,0.4274,0.039981697940013626,404,18.9,0.0,0.0,0.0,0.0
55,2454,165,175.25,0.4174,0.02210421357303858,414,19.4,0.0,0.0,0.0,0.0
56,2496,167,175.05,0.4074,0.003426748132121495,425,19.9,0.0,0.0,0.0,0.0
57,2538,167,175.05,0.3975,0.06907205363240791,435,20.4,0.0,0.0,0.0,0.0
58,2580,166,170.9,0.3875,0.06011515788056634,446,20.9,0.0,0.0,0.0,0.0
59,2633,208,172.8,0.3749,0.035446444096473545,459,21.5,0.0,0.0,0.0,0.0
60,2675,167,170.8,0.3649,0.010802105301991105,469,22.0,0.0,0.0,0.0,0.0
61,2717,167,170.6,0.3549,0.05662620504683053,480,22.6,0.0,0.0,0.0,0.0
62,2761,173,170.7,0.3445,0.03730058924041011,491,23.1,0.0,0.0,0.0,0.0
63,2803,165,170.6,0.3345,0.06176014336524531,501,23.6,0.0,0.0,0.0,0.0
64,2845,167,170.7,0.3246,0.01665662969885902,512,24.1,0.0,0.0,0.0,0.0
65,2887,167,170.8,0.3146,0.009854722477030009,522,24.6,0.0,0.0,0.0,0.0
66,2931,173,171.2,0.3041,0.009271256212907081,533,25.1,0.0,0.0,0.0,0.0
67,2973,167,171.3,0.2942,0.008598766289651394,544,25.6,0.0,0.0,0.0,0.0
68,3025,205,173.2,0.2818,0.003826948129034673,557,26.3,0.0,0.0,0.0,0.0
69,3067,167,173.3,0.2718,0.004899454850237817,567,26.7,0.0,0.0,0.0,0.0
70,3129,245,175.3,0.2571,0.007167461692006327,583,27.5,0.0,0.0,0.0,0.0
71,3171,167,175.3,0.2471,0.007956569688394666,593,28.0,0.0,0.0,0.0,0.0
72,3213,167,175.4,0.2371,0.011137450187975033,604,28.5,0.0,0.0,0.0,0.0
73,3255,167,175.2,0.2272,0.00799797645304352,614,28.9,0.0,0.0,0.0,0.0
74,3297,167,175.2,0.2172,0.007510498748160899,625,29.4,0.0,0.0,0.0,0.0
75,3361,255,179.7,0.202,0.0057288706811959855,641,30.1,0.0,0.0,0.0,0.0
76,3403,167,179.7,0.192,0.011423758062301203,651,30.5,0.0,0.0,0.0,0.0
77,3465,247,183.7,0.1773,0.0096190320327878,667,31.3,0.0,0.0,0.0,0.0
78,3507,167,183.75,0.1673,0.008425272797467187,677,31.8,0.0,0.0,0.0,0.0
79,3549,166,181.65,0.1573,0.010002575264396992,688,32.3,0.0,0.0,0.0,0.0
80,3591,167,181.65,0.1474,0.006804023747099564,698,32.8,0.0,0.0,0.0,0.0
81,3633,167,181.65,0.1374,0.012050281696825881,709,33.4,0.0,0.0,0.0,0.0
82,3675,167,181.35,0.1274,0.012034097488503903,719,33.9,0.0,0.0,0.0,0.0
83,3728,210,183.6,0.1148,0.005394944921135902,733,34.7,0.0,0.0,0.0,0.0
84,3770,167,183.6,0.1049,0.012389846751466394,743,35.2,0.0,0.0,0.0,0.0
85,3833,251,187.8,0.0899,0.006134797047707252,759,36.1,0.0,0.0,0.0,0.0
86,3875,167,187.5,0.0799,0.004528735973872244,769,36.7,0.0,0.0,0.0,0.0
87,3917,167,187.5,0.07,0.0075140159725296226,780,37.3,0.0,0.0,0.0,0.0
88,3959,167,185.6,0.06,0.009533413010649383,790,38.0,0.0,0.0,0.0,0.0
89,4002,171,185.8,0.05,0.009753345109691674,801,38.6,0.0,0.0,0.0,0.0
90,4044,167,181.9,0.05,0.008244034559042617,812,39.2,0.0,0.0,0.0,0.0
91,4087,170,182.05,0.05,0.006438089371658862,822,39.8,0.0,0.0,0.0,0.0
92,4151,253,186.35,0.05,0.011178884262335487,838,40.7,0.0,0.0,0.0,0.0
93,4194,171,186.55,0.05,0.016874354798346758,849,41.3,0.0,0.0,0.0,0.0
94,4236,167,186.55,0.05,0.010954922361468727,860,41.9,0.0,0.0,0.0,0.0
95,4289,208,184.2,0.05,0.01098386740956742,873,42.7,0.0,0.0,0.0,0.0
96,4331,167,184.2,0.05,0.011884098779410124,883,43.3,0.0,0.0,0.0,0.0
97,4373,167,180.2,0.05,0.01416206190531904,894,43.9,0.0,0.0,0.0,0.0
98,4415,165,180.1,0.05,0.006923335557803512,904,44.5,0.0,0.0,0.0,0.0
99,4468,208,182.2,0.05,0.007165000341566545,918,45.3,0.0,0.0,0.0,0.0
100,4510,167,182.2,0.05,0.004957784019643441,928,45.9,0.0,0.0,0.0,0.0
101,4552,167,182.2,0.05,0.007241639901291241,939,46.5,0.0,0.0,0.0,0.0
102,4595,169,182.3,0.05,0.008345182769699023,949,47.1,0.0,0.0,0.0,0.0
