episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,42,167,167.0,0.9951,nan,0,0.1,0.0,0.0,0.0,0.0
2,84,167,167.0,0.9901,nan,0,0.2,0.0,0.0,0.0,0.0
3,126,167,167.0,0.9852,nan,0,0.3,0.0,0.0,0.0,0.0
4,169,169,167.5,0.98,nan,0,0.3,0.0,0.0,0.0,0.0
5,211,167,167.4,0.9751,nan,0,0.4,0.0,0.0,0.0,0.0
6,253,167,167.33333333333334,0.9701,nan,0,0.5,0.0,0.0,0.0,0.0
7,304,203,172.42857142857142,0.964,nan,0,0.6,0.0,0.0,0.0,0.0
8,346,167,171.75,0.959,nan,0,0.7,0.0,0.0,0.0,0.0
9,388,167,171.22222222222223,0.954,nan,0,0.8,0.0,0.0,0.0,0.0
10,430,167,170.8,0.9491,nan,0,0.9,0.0,0.0,0.0,0.0
11,472,165,170.27272727272728,0.9441,nan,0,1.0,0.0,0.0,0.0,0.0
12,514,167,170.0,0.9391,nan,0,1.1,0.0,0.0,0.0,0.0
13,557,169,169.92307692307693,0.934,nan,0,1.2,0.0,0.0,0.0,0.0
14,600,170,169.92857142857142,0.9289,nan,0,1.3,0.0,0.0,0.0,0.0
15,643,170,169.93333333333334,0.9238,nan,0,1.4,0.0,0.0,0.0,0.0
16,685,167,169.75,0.9188,nan,0,1.4,0.0,0.0,0.0,0.0
17,728,170,169.76470588235293,0.9137,nan,0,1.5,0.0,0.0,0.0,0.0
18,770,167,169.61111111111111,0.9087,nan,0,1.6,0.0,0.0,0.0,0.0
19,812,165,169.3684210526316,0.9037,0.10084504820406437,4,1.9,0.0,0.0,0.0,0.0
20,864,207,171.25,0.8975,0.06704406870099214,17,2.7,0.0,0.0,0.0,0.0
21,906,165,171.15,0.8925,0.05926171392202377,27,3.3,0.0,0.0,0.0,0.0
22,948,167,171.15,0.8875,0.04556692459366538,38,4.0,0.0,0.0,0.0,0.0
23,990,167,171.15,0.8826,0.04129156973212957,48,4.5,0.0,0.0,0.0,0.0
24,1033,169,171.15,0.8775,0.03724480437284166,59,5.2,0.0,0.0,0.0,0.0
25,1075,167,171.15,0.8725,0.04291059132665396,69,5.8,0.0,0.0,0.0,0.0
26,1118,170,171.3,0.8674,0.04728113114833832,80,6.5,0.0,0.0,0.0,0.0
27,1160,165,169.4,0.8624,0.050807281651280144,91,7.2,0.0,0.0,0.0,0.0
28,1204,174,169.75,0.8571,0.0408318086781285,102,7.9,0.0,0.0,0.0,0.0
29,1258,212,172.0,0.8507,0.03936862916900562,115,8.7,0.0,0.0,0.0,0.0
30,1302,172,172.25,0.8455,0.05126772719350728,126,9.3,0.0,0.0,0.0,0.0
31,1346,174,172.7,0.8403,0.0408028055998412,137,10.0,0.0,0.0,0.0,0.0
32,1388,165,172.6,0.8353,0.0461678420278159,148,10.6,0.0,0.0,0.0,0.0
33,1430,167,172.5,0.8303,0.04987187087535858,158,11.3,0.0,0.0,0.0,0.0
34,1474,173,172.65,0.8251,0.03875836238942363,169,11.9,0.0,0.0,0.0,0.0
35,1516,165,172.4,0.8201,0.04898977855389768,180,12.6,0.0,0.0,0.0,0.0
36,1558,165,172.3,0.8151,0.027794945612549783,190,13.2,0.0,0.0,0.0,0.0
37,1600,167,172.15,0.8101,0.00889735101637515,201,13.9,0.0,0.0,0.0,0.0
38,1642,167,172.15,0.8051,0.036658021292532796,211,14.5,0.0,0.0,0.0,0.0
39,1707,257,176.75,0.7974,0.09118644380941987,227,15.5,0.0,0.0,0.0,0.0
40,1759,205,176.65,0.7912,0.04427143931388855,240,16.3,0.0,0.0,0.0,0.0
41,1801,167,176.75,0.7863,0.03630664047192444,251,17.0,0.0,0.0,0.0,0.0
42,1844,171,176.95,0.7811,0.010083229471506043,262,17.7,0.0,0.0,0.0,0.0
43,1887,168,177.0,0.776,0.06345270104066003,272,18.3,0.0,0.0,0.0,0.0
44,1929,165,176.8,0.7711,0.06914406269788742,283,19.0,0.0,0.0,0.0,0.0
45,1971,167,176.8,0.7661,0.04678488466888666,293,19.6,0.0,0.0,0.0,0.0
46,2013,165,176.55,0.7611,0.017148655669933014,304,20.3,0.0,0.0,0.0,0.0
47,2055,167,176.65,0.7561,0.004752179008210078,314,21.1,0.0,0.0,0.0,0.0
48,2097,167,176.3,0.7511,0.08166695453903892,325,21.7,0.0,0.0,0.0,0.0
49,2139,167,174.05,0.7461,0.04082410018891096,335,22.3,0.0,0.0,0.0,0.0
50,2181,167,173.8,0.7411,0.05709423852915114,346,23.0,0.0,0.0,0.0,0.0
51,2223,167,173.45,0.7361,0.06721796281635761,356,23.6,0.0,0.0,0.0,0.0
52,2265,167,173.55,0.7311,0.040725131942467255,367,24.2,0.0,0.0,0.0,0.0
53,2319,215,175.95,0.7247,0.03291409548658591,380,25.0,0.0,0.0,0.0,0.0
54,2361,165,175.55,0.7198,0.015851635845716704,391,25.7,0.0,0.0,0.0,0.0
55,2403,167,175.65,0.7148,0.0835702774929814,401,26.2,0.0,0.0,0.0,0.0
56,2445,165,175.65,0.7098,0.04965142109854655,412,26.9,0.0,0.0,0.0,0.0
57,2487,167,175.65,0.7048,0.014172816276550293,422,27.5,0.0,0.0,0.0,0.0
58,2560,291,181.85,0.6961,0.0468063865739264,441,28.7,0.0,0.0,0.0,0.0
59,2602,167,177.35,0.6911,0.018590694293379784,451,29.3,0.0,0.0,0.0,0.0
60,2644,165,175.35,0.6861,0.014258327766914259,462,30.0,0.0,0.0,0.0,0.0
61,2686,167,175.35,0.6812,0.0837697979528457,472,30.6,0.0,0.0,0.0,0.0
62,2728,167,175.15,0.6762,0.07075983455235307,483,31.3,0.0,0.0,0.0,0.0
63,2780,205,177.0,0.67,0.052466090517834976,496,32.1,0.0,0.0,0.0,0.0
64,2822,167,177.1,0.665,0.013638988160528243,506,32.7,0.0,0.0,0.0,0.0
65,2864,167,177.1,0.66,0.0018083595945923166,517,33.4,0.0,0.0,0.0,0.0
66,2906,167,177.2,0.655,0.011063454137183727,527,34.1,0.0,0.0,0.0,0.0
67,2948,167,177.2,0.65,0.009153587812430818,538,34.7,0.0,0.0,0.0,0.0
68,2991,170,177.35,0.6449,0.00022407781943911687,548,35.3,0.0,0.0,0.0,0.0
69,3034,169,177.45,0.6398,0.003339533130201744,559,35.9,0.0,0.0,0.0,0.0
70,3087,210,179.6,0.6335,0.0030091003505871273,572,36.7,0.0,0.0,0.0,0.0
71,3129,167,179.6,0.6285,0.003506815672153607,583,37.6,0.0,0.0,0.0,0.0
72,3171,165,179.5,0.6236,0.0033942037305678243,593,38.2,0.0,0.0,0.0,0.0
73,3213,166,177.05,0.6186,0.0029722465902027166,604,38.9,0.0,0.0,0.0,0.0
74,3255,167,177.15,0.6136,0.0005810663860756904,614,39.5,0.0,0.0,0.0,0.0
75,3299,173,177.45,0.6084,0.0004939624738075178,625,40.2,0.0,0.0,0.0,0.0
76,3352,208,179.6,0.6021,0.007173421310393938,639,41.1,0.0,0.0,0.0,0.0
77,3394,167,179.6,0.5971,0.003443400747346459,649,41.8,0.0,0.0,0.0,0.0
78,3436,167,173.4,0.5921,0.00010908987058593829,660,42.6,0.0,0.0,0.0,0.0
79,3478,167,173.4,0.5871,0.0032928830807577468,670,43.4,0.0,0.0,0.0,0.0
80,3520,167,173.5,0.5821,0.005910054866531441,681,44.1,0.0,0.0,0.0,0.0
81,3562,167,173.5,0.5771,0.009726191969821229,691,44.9,0.0,0.0,0.0,0.0
82,3606,172,173.75,0.5719,0.005983813178979538,702,45.5,0.0,0.0,0.0,0.0
83,3648,165,171.75,0.5669,0.008938787768288008,713,46.2,0.0,0.0,0.0,0.0
84,3690,167,171.75,0.5619,0.003216748034174088,723,46.8,0.0,0.0,0.0,0.0
85,3733,170,171.9,0.5568,0.0002714522167728071,734,47.5,0.0,0.0,0.0,0.0
86,3777,173,172.2,0.5516,0.003184456484715073,745,48.2,0.0,0.0,0.0,0.0
87,3819,167,172.2,0.5466,0.006433804239350138,755,48.9,0.0,0.0,0.0,0.0
88,3861,167,172.05,0.5416,0.00568865959410852,766,49.6,0.0,0.0,0.0,0.0
89,3915,212,174.2,0.5352,9.65363229065238e-05,779,50.3,0.0,0.0,0.0,0.0
90,3957,167,172.05,0.5302,0.0031118703078721987,790,51.0,0.0,0.0,0.0,0.0
91,4009,207,174.05,0.5241,0.0025981176396061736,803,51.9,0.0,0.0,0.0,0.0
92,4051,167,174.15,0.5191,0.00016085667011793702,813,52.6,0.0,0.0,0.0,0.0
93,4093,167,174.2,0.5141,0.005720359670786737,824,53.3,0.0,0.0,0.0,0.0
94,4135,165,174.1,0.5091,0.0031924827519105746,834,54.1,0.0,0.0,0.0,0.0
95,4178,171,174.0,0.504,0.00016802054563992317,845,55.0,0.0,0.0,0.0,0.0
96,4220,167,171.95,0.499,0.0028649484690752365,856,55.9,0.0,0.0,0.0,0.0
97,4262,165,171.85,0.494,0.0032054102008260087,866,56.7,0.0,0.0,0.0,0.0
98,4313,202,173.6,0.4879,0.002464521020346393,879,57.7,0.0,0.0,0.0,0.0
99,4355,167,173.6,0.483,0.00020048113401571754,889,58.5,0.0,0.0,0.0,0.0
100,4397,165,173.5,0.478,0.011585944504159588,900,59.3,0.0,0.0,0.0,0.0
101,4439,165,173.4,0.473,0.006490389167609578,910,60.1,0.0,0.0,0.0,0.0
102,4481,167,173.15,0.468,0.008655691961042645,921,61.0,0.0,0.0,0.0,0.0
103,4523,167,173.25,0.463,0.0001384652809065301,931,61.8,0.0,0.0,0.0,0.0
104,4566,171,173.45,0.4579,0.0057524567744787255,942,62.6,0.0,0.0,0.0,0.0
105,4618,205,175.2,0.4517,0.002554641923639932,955,63.5,0.0,0.0,0.0,0.0
106,4660,167,174.9,0.4467,0.0005822647032222118,966,64.1,0.0,0.0,0.0,0.0
107,4702,167,174.9,0.4418,0.0068597383913584055,976,64.8,0.0,0.0,0.0,0.0
108,4744,167,174.9,0.4368,0.008896366560789333,987,65.5,0.0,0.0,0.0,0.0
109,4786,167,172.65,0.4318,0.009382914268644526,997,66.2,0.0,0.0,0.0,0.0
110,4830,172,172.9,0.4266,0.0048128014360289935,1008,66.8,0.0,0.0,0.0,0.0
111,4882,206,172.85,0.4204,0.0004969692213657814,1021,67.7,0.0,0.0,0.0,0.0
112,4924,165,172.75,0.4154,0.002886242103572427,1032,68.4,0.0,0.0,0.0,0.0
113,4977,209,174.85,0.4091,0.004883372891456999,1045,69.3,0.0,0.0,0.0,0.0
114,5019,167,174.95,0.4041,0.00011620760215009795,1055,70.0,0.0,0.0,0.0,0.0
115,5061,167,174.75,0.3991,0.005781850645937745,1066,70.7,0.0,0.0,0.0,0.0
116,5113,206,176.7,0.393,0.0028170530366388937,1079,71.7,0.0,0.0,0.0,0.0
117,5155,167,176.8,0.388,0.0070277885359246286,1089,72.4,0.0,0.0,0.0,0.0
118,5197,165,174.95,0.383,0.005958850292121166,1100,73.1,0.0,0.0,0.0,0.0
119,5240,168,175.0,0.3779,0.008856581801823764,1111,73.9,0.0,0.0,0.0,0.0
120,5282,165,175.0,0.3729,0.007009312877198681,1121,74.6,0.0,0.0,0.0,0.0
121,5324,167,175.1,0.3679,0.00035724379333921456,1132,75.3,0.0,0.0,0.0,0.0
122,5367,169,175.2,0.3628,0.00011337487121636514,1142,76.0,0.0,0.0,0.0,0.0
123,5409,165,175.1,0.3578,0.0003905098356798672,1153,76.8,0.0,0.0,0.0,0.0
124,5451,167,174.9,0.3528,0.0036793812687392347,1163,77.5,0.0,0.0,0.0,0.0
125,5493,167,173.0,0.3478,0.005964877679864664,1174,78.2,0.0,0.0,0.0,0.0
126,5535,167,173.0,0.3428,0.00044121704122517257,1184,78.9,0.0,0.0,0.0,0.0
127,5577,167,173.0,0.3379,0.003010292472192139,1195,79.6,0.0,0.0,0.0,0.0
128,5619,167,173.0,0.3329,0.0032752631304902025,1205,80.3,0.0,0.0,0.0,0.0
129,5661,167,173.0,0.3279,0.00014783877254971728,1216,81.0,0.0,0.0,0.0,0.0
130,5705,172,173.0,0.3227,0.0031231458752617154,1227,81.8,0.0,0.0,0.0,0.0
131,5747,167,171.05,0.3177,0.006652783848403487,1237,82.5,0.0,0.0,0.0,0.0
132,5790,171,171.35,0.3126,8.698708552401513e-05,1248,83.4,0.0,0.0,0.0,0.0
133,5832,165,169.15,0.3076,0.0029191688127783973,1259,84.2,0.0,0.0,0.0,0.0
134,5875,169,169.25,0.3025,0.0035809969282126985,1269,84.9,0.0,0.0,0.0,0.0
135,5917,167,169.25,0.2975,0.0030693383384707636,1280,85.6,0.0,0.0,0.0,0.0
136,5959,165,167.2,0.2925,0.0001166890509921359,1290,86.3,0.0,0.0,0.0,0.0
137,6001,167,167.2,0.2875,0.014524578673114196,1301,87.0,0.0,0.0,0.0,0.0
138,6043,167,167.3,0.2825,0.006613827922046766,1311,87.8,0.0,0.0,0.0,0.0
139,6085,167,167.25,0.2775,0.002934848198823271,1322,88.6,0.0,0.0,0.0,0.0
140,6128,170,167.5,0.2724,0.0003958318373572018,1333,89.3,0.0,0.0,0.0,0.0
141,6170,167,167.5,0.2674,0.0034069771558279172,1343,90.0,0.0,0.0,0.0,0.0
