episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,42,167,167.0,0.9922,nan,0,0.1,0.0,0.0,0.0,0.0
2,84,167,167.0,0.9842,nan,0,0.2,0.0,0.0,0.0,0.0
3,126,167,167.0,0.9762,nan,0,0.2,0.0,0.0,0.0,0.0
4,168,167,167.0,0.9683,nan,0,0.3,0.0,0.0,0.0,0.0
5,211,170,167.6,0.9601,nan,0,0.4,0.0,0.0,0.0,0.0
6,265,214,175.33333333333334,0.9498,nan,0,0.5,0.0,0.0,0.0,0.0
7,308,168,174.28571428571428,0.9417,nan,0,0.6,0.0,0.0,0.0,0.0
8,352,173,174.125,0.9333,nan,0,0.7,0.0,0.0,0.0,0.0
9,394,167,173.33333333333334,0.9253,nan,0,0.8,0.0,0.0,0.0,0.0
10,436,167,172.7,0.9173,nan,0,0.8,0.0,0.0,0.0,0.0
11,480,172,172.63636363636363,0.909,nan,0,0.9,0.0,0.0,0.0,0.0
12,522,165,172.0,0.901,nan,0,1.0,0.0,0.0,0.0,0.0
13,566,172,172.0,0.8926,nan,0,1.1,0.0,0.0,0.0,0.0
14,621,217,175.21428571428572,0.8822,nan,0,1.2,0.0,0.0,0.0,0.0
15,663,166,174.6,0.8742,nan,0,1.4,0.0,0.0,0.0,0.0
16,705,167,174.125,0.8662,nan,0,1.4,0.0,0.0,0.0,0.0
17,748,168,173.76470588235293,0.8581,nan,0,1.5,0.0,0.0,0.0,0.0
18,790,167,173.38888888888889,0.8501,nan,0,1.6,0.0,0.0,0.0,0.0
19,832,167,173.05263157894737,0.8421,0.07429584571056896,9,2.3,0.0,0.0,0.0,0.0
20,874,167,172.75,0.8341,0.07414440512657165,19,3.0,0.0,0.0,0.0,0.0
21,916,167,172.75,0.8262,0.04832531444051049,30,3.9,0.0,0.0,0.0,0.0
22,958,165,172.65,0.8182,0.052317215129733086,40,4.7,0.0,0.0,0.0,0.0
23,1000,165,172.55,0.8102,0.00967210370369933,51,5.3,0.0,0.0,0.0,0.0
24,1043,169,172.65,0.802,0.08788698331918568,61,6.1,0.0,0.0,0.0,0.0
25,1085,167,172.5,0.794,0.061112374405969276,72,6.8,0.0,0.0,0.0,0.0
26,1127,167,170.15,0.7861,0.037872790917754175,82,7.6,0.0,0.0,0.0,0.0
27,1179,204,171.95,0.7762,0.06349449676389878,95,8.5,0.0,0.0,0.0,0.0
28,1222,169,171.75,0.768,0.03689655627716671,106,9.3,0.0,0.0,0.0,0.0
29,1264,165,171.65,0.76,0.009232293571006845,117,10.0,0.0,0.0,0.0,0.0
30,1308,173,171.95,0.7517,0.09851495287677442,128,10.9,0.0,0.0,0.0,0.0
31,1350,167,171.7,0.7437,0.0454734118655324,138,11.6,0.0,0.0,0.0,0.0
32,1403,209,173.9,0.7336,0.0472775436221407,151,12.9,0.0,0.0,0.0,0.0
33,1446,171,173.85,0.7255,0.009566161781549454,162,13.7,0.0,0.0,0.0,0.0
34,1488,167,171.35,0.7175,0.0582443324171684,173,14.7,0.0,0.0,0.0,0.0
35,1531,170,171.55,0.7093,0.07432253696024418,183,15.4,0.0,0.0,0.0,0.0
36,1575,174,171.9,0.7009,0.02660033106803894,194,16.4,0.0,0.0,0.0,0.0
