episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,47,185,185.0,0.9891,nan,0,0.1,0.0,0.0,0.0,0.0
2,94,185,185.0,0.9779,nan,0,0.2,0.0,0.0,0.0,0.0
3,141,185,185.0,0.9667,nan,0,0.3,0.0,0.0,0.0,0.0
4,188,186,185.25,0.9556,nan,0,0.3,0.0,0.0,0.0,0.0
5,235,185,185.2,0.9444,nan,0,0.4,0.0,0.0,0.0,0.0
6,283,189,185.83333333333334,0.933,nan,0,0.5,0.0,0.0,0.0,0.0
7,331,189,186.28571428571428,0.9216,nan,0,0.6,0.0,0.0,0.0,0.0
8,379,189,186.625,0.9102,nan,0,0.7,0.0,0.0,0.0,0.0
9,426,187,186.66666666666666,0.8991,nan,0,0.8,0.0,0.0,0.0,0.0
10,484,231,191.1,0.8853,nan,0,0.9,0.0,0.0,0.0,0.0
11,532,191,191.0909090909091,0.8739,nan,0,1.0,0.0,0.0,0.0,0.0
12,578,182,190.33333333333334,0.863,nan,0,1.1,0.0,0.0,0.0,0.0
13,625,185,189.92307692307693,0.8518,nan,0,1.2,0.0,0.0,0.0,0.0
14,673,189,189.85714285714286,0.8404,nan,0,1.3,0.0,0.0,0.0,0.0
15,730,227,192.33333333333334,0.8269,nan,0,1.4,0.0,0.0,0.0,0.0
16,777,187,192.0,0.8157,nan,0,1.5,0.0,0.0,0.0,0.0
17,824,184,191.52941176470588,0.8045,0.1033014782837459,7,2.0,0.0,0.0,0.0,0.0
18,896,284,196.66666666666666,0.7874,0.05108418812354406,25,3.1,0.0,0.0,0.0,0.0
19,955,232,198.52631578947367,0.7734,0.04205907295857157,39,3.8,0.0,0.0,0.0,0.0
20,1002,187,197.95,0.7623,0.07272144531210263,51,4.7,0.0,0.0,0.0,0.0
21,1049,185,197.95,0.7511,0.035143965389579535,63,5.4,0.0,0.0,0.0,0.0
22,1095,182,197.8,0.7402,0.04612855903211643,74,6.1,0.0,0.0,0.0,0.0
23,1142,185,197.8,0.729,0.05538747059957435,86,6.8,0.0,0.0,0.0,0.0
24,1190,188,197.9,0.7176,0.0512885640685757,98,7.6,0.0,0.0,0.0,0.0
25,1237,184,197.85,0.7065,0.010195646638749167,110,8.3,0.0,0.0,0.0,0.0
26,1284,185,197.65,0.6953,0.11879621489424608,122,9.0,0.0,0.0,0.0,0.0
27,1331,184,197.4,0.6841,0.0648366396569393,133,9.7,0.0,0.0,0.0,0.0
28,1378,187,197.3,0.673,0.024145640122393768,145,10.4,0.0,0.0,0.0,0.0
29,1436,231,199.5,0.6592,0.051985862851142886,160,11.4,0.0,0.0,0.0,0.0
30,1483,187,197.3,0.648,0.07650037346915765,171,12.0,0.0,0.0,0.0,0.0
