episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,178,177,177.0,0.9159,nan,0,0.3,1.0,1.0,1.0,1.0
2,357,178,177.5,0.8309,nan,0,0.9,1.0,1.0,1.0,1.0
3,533,175,176.66666666666666,0.7473,1.0584359235233731,9,3.1,1.0445584058761597,1.0442636013031006,1.0439189672470093,0.999432384967804
4,711,177,176.75,0.6627,0.628977856175466,53,10.8,1.2586054801940918,1.233427882194519,1.2527779340744019,0.9962361454963684
5,890,178,177.0,0.5777,0.35229750606748794,98,18.8,1.4475486278533936,1.416331171989441,1.4392027854919434,0.993156909942627
6,1067,176,176.83333333333334,0.4937,0.18651145747439427,142,26.5,1.6152665615081787,1.5637872219085693,1.5897310972213745,0.9926852583885193
7,1245,177,176.85714285714286,0.4091,0.09779543769028452,187,34.7,1.7441132068634033,1.6910982131958008,1.7009894847869873,0.9917661547660828
8,1473,227,183.125,0.3008,0.6807778556095926,244,47.1,2.138193130493164,1.9692288637161255,2.0237112045288086,0.9901823997497559
9,1651,177,182.44444444444446,0.2163,0.4279877468943596,288,60.0,2.4080681800842285,2.1888885498046875,2.247899293899536,0.9892372488975525
10,1829,177,181.9,0.1317,0.22937731047471363,333,74.2,2.569925546646118,2.3819823265075684,2.4088892936706543,0.9865202307701111
11,2006,176,181.36363636363637,0.05,0.10150714345615018,377,88.8,2.6731574535369873,2.500673294067383,2.5226662158966064,0.9861952662467957
12,2184,177,181.0,0.05,0.5164328881849846,422,102.5,2.9033849239349365,2.646597385406494,2.676539421081543,0.9852225184440613
13,2362,177,180.69230769230768,0.05,0.5578066781163216,466,114.8,3.2485878467559814,2.87920880317688,2.921342611312866,0.9848968982696533
14,2540,177,180.42857142857142,0.05,0.26917455395062767,511,128.5,3.416964530944824,3.0467336177825928,3.1129276752471924,0.9835823178291321
15,2718,177,180.2,0.05,0.12813235819339752,555,141.6,3.4982802867889404,3.1622366905212402,3.238175630569458,0.9838544726371765
16,2896,177,180.0,0.05,0.10175362539788087,600,155.4,3.5307457447052,3.247492790222168,3.3341639041900635,0.9833698272705078
17,3074,177,179.8235294117647,0.05,0.7694320021705194,644,168.3,3.9437904357910156,3.4674925804138184,3.5717551708221436,0.9832792282104492
