episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9951,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9899,nan,0,0.1,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.9834,nan,0,0.2,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9782,nan,0,0.3,10.0,10.0,10.0,1.0
5,269,269,212.4,0.9708,nan,0,0.4,10.0,10.0,10.0,1.0
6,350,320,230.33333333333334,0.962,nan,0,0.5,10.0,10.0,10.0,1.0
7,397,185,223.85714285714286,0.9569,nan,0,0.6,10.0,10.0,10.0,1.0
8,444,185,219.0,0.9518,nan,0,0.6,10.0,10.0,10.0,1.0
9,490,182,214.88888888888889,0.9468,nan,0,0.7,10.0,10.0,10.0,1.0
10,537,185,211.9,0.9416,nan,0,0.8,10.0,10.0,10.0,1.0
11,596,232,213.72727272727272,0.9352,nan,0,0.9,10.0,10.0,10.0,1.0
12,644,189,211.66666666666666,0.93,nan,0,1.0,10.0,10.0,10.0,1.0
13,691,185,209.6153846153846,0.9249,nan,0,1.0,10.0,10.0,10.0,1.0
14,737,182,207.64285714285714,0.9199,nan,0,1.1,10.0,10.0,10.0,1.0
15,785,191,206.53333333333333,0.9146,nan,0,1.2,10.0,10.0,10.0,1.0
16,832,185,205.1875,0.9095,2.750454321503639,8,1.8,10.195351600646973,9.786103248596191,10.21845531463623,1.0010461807250977
17,879,185,204.0,0.9044,2.1170869808305395,19,2.7,10.108699798583984,9.576410293579102,10.22665023803711,1.00273859500885
18,927,189,203.16666666666666,0.8992,2.1481856306393943,31,3.6,10.114970207214355,9.601800918579102,10.256903648376465,1.002099871635437
19,974,185,202.21052631578948,0.8941,2.502868875861168,43,4.5,10.26624870300293,9.664094924926758,10.438224792480469,1.0028982162475586
20,1032,231,203.65,0.8877,2.1671812097231546,58,5.6,10.299415588378906,9.656420707702637,10.500682830810547,1.001954436302185
21,1081,192,204.15,0.8824,2.270775238672892,70,6.4,10.28111457824707,9.589344024658203,10.555970191955566,1.0006730556488037
22,1128,187,204.1,0.8773,2.893884281317393,82,7.3,10.010923385620117,9.319756507873535,10.295449256896973,0.9981947541236877
23,1175,185,201.6,0.8722,1.5886493108489297,93,8.1,9.622798919677734,9.108510971069336,10.077483177185059,0.9935590624809265
24,1223,190,201.7,0.8669,1.248460702598095,105,9.0,9.340409278869629,9.00841999053955,9.9611234664917,0.993325412273407
25,1269,182,197.35,0.8619,1.0757862130800884,117,9.9,9.18575668334961,8.966756820678711,9.936586380004883,0.9926733374595642
