episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9951,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9899,nan,0,0.1,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.9834,nan,0,0.2,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9782,nan,0,0.3,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9718,nan,0,0.4,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9655,nan,0,0.5,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9603,nan,0,0.6,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9539,nan,0,0.7,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9488,nan,0,0.8,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9424,nan,0,0.9,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.9361,nan,0,1.0,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9298,nan,0,1.1,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9248,nan,0,1.2,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9184,nan,0,1.3,10.0,10.0,10.0,1.0
15,796,183,209.8,0.9134,nan,0,1.4,10.0,10.0,10.0,1.0
16,842,182,208.0625,0.9084,3.1903014898300173,10,2.5,10.210644721984863,9.798266410827637,10.289105415344238,0.9991815686225891
17,890,190,207.0,0.9032,1.610227604707082,22,3.6,10.375099182128906,9.727072715759277,10.58169937133789,0.9963666796684265
18,951,240,208.83333333333334,0.8966,2.386954347292582,37,5.0,10.314712524414062,9.472403526306152,10.53754997253418,0.9864230155944824
19,997,182,207.42105263157896,0.8915,1.4412758499383926,49,6.1,10.160443305969238,9.301536560058594,10.389514923095703,0.9770624041557312
20,1045,190,206.55,0.8863,0.9931650559107462,61,7.1,10.114620208740234,9.265995979309082,10.333741188049316,0.9729705452919006
21,1093,190,206.95,0.8811,2.6420666401584945,73,8.0,10.167363166809082,9.35877799987793,10.32581615447998,0.973354160785675
22,1152,232,209.15,0.8747,2.9318055470784503,88,9.3,10.412858963012695,9.763187408447266,10.590716361999512,0.9845688939094543
23,1199,185,206.65,0.8696,2.4133501079949466,99,10.3,10.562106132507324,9.848356246948242,10.756075859069824,0.9875358939170837
24,1247,189,206.7,0.8643,2.364460900425911,111,11.5,10.567367553710938,9.863537788391113,10.940018653869629,0.9863040447235107
25,1293,182,204.1,0.8593,2.549721439679464,123,12.6,10.523819923400879,9.858927726745605,11.012950897216797,0.9849150776863098
