episode,env_steps,score,ma20,epsilon,mean_loss,grad_steps,wall_clock_s,w0,w1,w2,lam_mean
1,46,182,182.0,0.9952,nan,0,0.1,10.0,10.0,10.0,1.0
2,94,188,185.0,0.9902,nan,0,0.2,10.0,10.0,10.0,1.0
3,153,235,201.66666666666666,0.984,nan,0,0.3,10.0,10.0,10.0,1.0
4,201,188,198.25,0.9789,nan,0,0.4,10.0,10.0,10.0,1.0
5,260,234,205.4,0.9727,nan,0,0.5,10.0,10.0,10.0,1.0
6,318,230,209.5,0.9665,nan,0,0.7,10.0,10.0,10.0,1.0
7,366,191,206.85714285714286,0.9615,nan,0,0.8,10.0,10.0,10.0,1.0
8,424,228,209.5,0.9554,nan,0,0.9,10.0,10.0,10.0,1.0
9,471,185,206.77777777777777,0.9504,nan,0,1.1,10.0,10.0,10.0,1.0
10,530,234,209.5,0.9442,nan,0,1.3,10.0,10.0,10.0,1.0
11,588,229,211.27272727272728,0.938,nan,0,1.4,10.0,10.0,10.0,1.0
12,646,229,212.75,0.9319,nan,0,1.6,10.0,10.0,10.0,1.0
13,692,182,210.3846153846154,0.9271,nan,0,1.7,10.0,10.0,10.0,1.0
14,750,229,211.71428571428572,0.9209,nan,0,1.8,10.0,10.0,10.0,1.0
15,796,183,209.8,0.9161,nan,0,2.0,10.0,10.0,10.0,1.0
16,843,185,208.25,0.9111,2.0217350125312805,11,3.7,10.248283386230469,9.744553565979004,10.316922187805176,0.9943594336509705
17,902,232,209.64705882352942,0.9049,0.9530633886655172,26,6.2,10.465666770935059,9.627864837646484,10.698304176330566,0.9909942150115967
18,950,189,208.5,0.8998,1.6931910735244553,38,8.1,10.351635932922363,9.293390274047852,10.617117881774902,0.9880878329277039
19,1009,235,209.89473684210526,0.8936,0.5828029605249564,53,9.9,10.119017601013184,8.972701072692871,10.44339370727539,0.9809710383415222
20,1068,233,211.05,0.8874,2.139267789075772,68,11.7,10.223111152648926,9.095076560974121,10.444887161254883,0.9816913604736328
21,1116,189,211.4,0.8823,1.7744583785533905,80,13.4,10.387384414672852,9.232013702392578,10.495223999023438,0.9843447804450989
