[dino_vqc_birds_v2] encoder=trainable_cnn obs=zz qubits=6 layers=3 | params: CNN(trainable) 480,294 vs VQC 36 (+lam 6, w 3) | total 480,339
[dino_vqc_birds_v2] ep    1 | steps     46/34000 | score  182 | ma20  182.0 | eps 0.995 | loss      nan | w 10.00,10.00,10.00 | 0s
[dino_vqc_birds_v2] ep   10 | steps    530/34000 | score  234 | ma20  209.5 | eps 0.944 | loss      nan | w 10.00,10.00,10.00 | 1s
[dino_vqc_birds_v2] ep   20 | steps   1068/34000 | score  233 | ma20  211.1 | eps 0.887 | loss    2.139 | w 10.22,9.10,10.44 | 12s
[dino_vqc_birds_v2] ep   30 | steps   1558/34000 | score  182 | ma20  203.0 | eps 0.836 | loss    0.523 | w 9.84,8.97,10.45 | 28s
[dino_vqc_birds_v2] ep   40 | steps   2123/34000 | score  187 | ma20  208.5 | eps 0.776 | loss    0.806 | w 9.66,9.68,10.27 | 48s
[dino_vqc_birds_v2] ep   50 | steps   2629/34000 | score  185 | ma20  211.8 | eps 0.723 | loss    3.020 | w 10.03,10.13,10.38 | 65s
[dino_vqc_birds_v2] ep   60 | steps   3170/34000 | score  184 | ma20  206.7 | eps 0.665 | loss    0.928 | w 10.47,10.24,10.84 | 83s
[dino_vqc_birds_v2] ep   70 | steps   3712/34000 | score  185 | ma20  213.7 | eps 0.608 | loss    0.577 | w 10.49,10.23,10.80 | 101s
[dino_vqc_birds_v2] ep   80 | steps   4230/34000 | score  183 | ma20  209.4 | eps 0.554 | loss    0.630 | w 10.50,10.25,10.86 | 121s
[dino_vqc_birds_v2] ep   90 | steps   4772/34000 | score  185 | ma20  209.8 | eps 0.496 | loss    0.352 | w 10.52,10.27,10.85 | 141s
[dino_vqc_birds_v2] ep  100 | steps   5303/34000 | score  188 | ma20  211.9 | eps 0.440 | loss    0.339 | w 10.48,10.23,10.86 | 161s
[dino_vqc_birds_v2] ep  110 | steps   5849/34000 | score  185 | ma20  212.6 | eps 0.383 | loss    0.880 | w 10.45,10.20,10.84 | 183s
[dino_vqc_birds_v2] ep  120 | steps   6398/34000 | score  230 | ma20  216.6 | eps 0.325 | loss    0.669 | w 10.46,10.27,10.82 | 204s
[dino_vqc_birds_v2] ep  130 | steps   6892/34000 | score  192 | ma20  206.2 | eps 0.273 | loss    0.945 | w 10.36,10.05,10.83 | 224s
[dino_vqc_birds_v2] ep  140 | steps   7413/34000 | score  330 | ma20  200.3 | eps 0.218 | loss    0.481 | w 10.38,10.11,10.84 | 246s
[dino_vqc_birds_v2] ep  150 | steps   7928/34000 | score  185 | ma20  204.7 | eps 0.163 | loss    0.728 | w 10.39,10.10,10.80 | 268s
[dino_vqc_birds_v2] ep  160 | steps   8503/34000 | score  191 | ma20  215.4 | eps 0.103 | loss    0.936 | w 10.38,10.09,10.80 | 291s
[dino_vqc_birds_v2] ep  170 | steps   9042/34000 | score  279 | ma20  220.2 | eps 0.050 | loss    0.842 | w 10.31,10.06,10.70 | 315s
[dino_vqc_birds_v2] ep  180 | steps   9558/34000 | score  186 | ma20  208.3 | eps 0.050 | loss    0.715 | w 10.33,10.09,10.73 | 337s
[dino_vqc_birds_v2] ep  190 | steps  10027/34000 | score  185 | ma20  194.2 | eps 0.050 | loss    0.843 | w 10.30,9.91,10.89 | 358s
[dino_vqc_birds_v2] ep  200 | steps  10533/34000 | score  184 | ma20  192.2 | eps 0.050 | loss    1.458 | w 10.29,9.92,10.70 | 379s
[dino_vqc_birds_v2] ep  210 | steps  11027/34000 | score  185 | ma20  197.2 | eps 0.050 | loss    0.557 | w 10.29,10.01,10.83 | 398s
[dino_vqc_birds_v2] ep  220 | steps  11497/34000 | score  185 | ma20  190.2 | eps 0.050 | loss    0.493 | w 10.35,10.01,10.86 | 417s
[dino_vqc_birds_v2] ep  230 | steps  11981/34000 | score  185 | ma20  188.0 | eps 0.050 | loss    0.892 | w 10.33,10.04,10.83 | 439s
[dino_vqc_birds_v2] ep  240 | steps  12510/34000 | score  188 | ma20  199.9 | eps 0.050 | loss    0.885 | w 10.29,10.17,10.70 | 462s
[dino_vqc_birds_v2] ep  250 | steps  13004/34000 | score  185 | ma20  202.3 | eps 0.050 | loss    0.706 | w 10.35,10.13,10.78 | 484s
[dino_vqc_birds_v2] ep  260 | steps  13486/34000 | score  185 | ma20  192.7 | eps 0.050 | loss    1.029 | w 10.24,10.07,10.69 | 505s
[dino_vqc_birds_v2] ep  270 | steps  14017/34000 | score  185 | ma20  200.0 | eps 0.050 | loss    0.867 | w 10.29,10.08,10.68 | 527s
[dino_vqc_birds_v2] ep  280 | steps  14497/34000 | score  185 | ma20  199.6 | eps 0.050 | loss    0.944 | w 10.21,9.99,10.79 | 547s
[dino_vqc_birds_v2] ep  290 | steps  14979/34000 | score  182 | ma20  189.7 | eps 0.050 | loss    0.440 | w 10.30,10.17,10.86 | 566s
[dino_vqc_birds_v2] ep  300 | steps  15466/34000 | score  191 | ma20  191.3 | eps 0.050 | loss    0.876 | w 10.33,10.22,10.71 | 585s
[dino_vqc_birds_v2] ep  310 | steps  15972/34000 | score  185 | ma20  196.1 | eps 0.050 | loss    0.598 | w 10.32,10.25,10.74 | 605s
[dino_vqc_birds_v2] ep  320 | steps  16471/34000 | score  229 | ma20  198.3 | eps 0.050 | loss    0.743 | w 10.33,10.25,10.73 | 624s
[dino_vqc_birds_v2] ep  330 | steps  16952/34000 | score  186 | ma20  193.6 | eps 0.050 | loss    0.624 | w 10.16,10.13,10.72 | 642s
[dino_vqc_birds_v2] ep  340 | steps  17494/34000 | score  191 | ma20  202.2 | eps 0.050 | loss    0.552 | w 10.22,10.20,10.72 | 663s
[dino_vqc_birds_v2] ep  350 | steps  17999/34000 | score  185 | ma20  206.7 | eps 0.050 | loss    0.673 | w 10.21,10.15,10.74 | 681s
[dino_vqc_birds_v2] ep  360 | steps  18468/34000 | score  182 | ma20  191.8 | eps 0.050 | loss    0.464 | w 10.25,10.23,10.79 | 698s
[dino_vqc_birds_v2] ep  370 | steps  18974/34000 | score  186 | ma20  192.2 | eps 0.050 | loss    0.792 | w 10.21,10.19,10.70 | 716s
[dino_vqc_birds_v2] ep  380 | steps  19479/34000 | score  236 | ma20  199.7 | eps 0.050 | loss    0.683 | w 10.12,10.15,10.49 | 734s
[dino_vqc_birds_v2] ep  390 | steps  20004/34000 | score  182 | ma20  203.3 | eps 0.050 | loss    0.610 | w 10.15,10.14,10.63 | 752s
[dino_vqc_birds_v2] ep  400 | steps  20473/34000 | score  185 | ma20  195.9 | eps 0.050 | loss    0.458 | w 10.31,10.34,10.71 | 769s
[dino_vqc_birds_v2] ep  410 | steps  20968/34000 | score  287 | ma20  190.2 | eps 0.050 | loss    0.600 | w 9.96,10.17,10.51 | 787s
[dino_vqc_birds_v2] ep  420 | steps  21450/34000 | score  187 | ma20  192.9 | eps 0.050 | loss    0.596 | w 10.00,10.17,10.46 | 804s
[dino_vqc_birds_v2] ep  430 | steps  21919/34000 | score  185 | ma20  187.7 | eps 0.050 | loss    0.728 | w 10.11,10.27,10.31 | 822s
[dino_vqc_birds_v2] ep  440 | steps  22413/34000 | score  185 | ma20  189.8 | eps 0.050 | loss    0.731 | w 9.92,10.25,10.39 | 839s
[dino_vqc_birds_v2] ep  450 | steps  22903/34000 | score  182 | ma20  194.0 | eps 0.050 | loss    0.525 | w 9.81,10.09,10.42 | 856s
[dino_vqc_birds_v2] ep  460 | steps  23407/34000 | score  185 | ma20  196.3 | eps 0.050 | loss    0.586 | w 9.87,10.07,10.38 | 874s
[dino_vqc_birds_v2] ep  470 | steps  23898/34000 | score  185 | ma20  196.5 | eps 0.050 | loss    0.457 | w 9.81,10.21,10.14 | 893s
[dino_vqc_birds_v2] ep  480 | steps  24415/34000 | score  182 | ma20  199.0 | eps 0.050 | loss    0.673 | w 9.82,10.16,10.40 | 911s
[dino_vqc_birds_v2] ep  490 | steps  24966/34000 | score  185 | ma20  210.8 | eps 0.050 | loss    0.281 | w 9.64,10.06,10.07 | 930s
[dino_vqc_birds_v2] ep  500 | steps  25471/34000 | score  232 | ma20  208.1 | eps 0.050 | loss    0.388 | w 9.74,10.21,10.02 | 946s
[dino_vqc_birds_v2] ep  510 | steps  25988/34000 | score  230 | ma20  201.4 | eps 0.050 | loss    0.746 | w 9.73,10.23,10.02 | 964s
[dino_vqc_birds_v2] ep  520 | steps  26471/34000 | score  185 | ma20  197.2 | eps 0.050 | loss    0.533 | w 9.70,10.10,10.02 | 980s
[dino_vqc_birds_v2] ep  530 | steps  26949/34000 | score  182 | ma20  189.7 | eps 0.050 | loss    0.544 | w 9.75,10.03,10.13 | 996s
[dino_vqc_birds_v2] ep  540 | steps  27424/34000 | score  230 | ma20  188.3 | eps 0.050 | loss    0.555 | w 9.80,10.17,10.05 | 1012s
[dino_vqc_birds_v2] ep  550 | steps  27990/34000 | score  185 | ma20  205.7 | eps 0.050 | loss    0.422 | w 9.76,10.18,10.07 | 1030s
[dino_vqc_birds_v2] ep  560 | steps  28493/34000 | score  279 | ma20  211.3 | eps 0.050 | loss    0.558 | w 9.78,10.20,10.14 | 1046s
[dino_vqc_birds_v2] ep  570 | steps  28967/34000 | score  182 | ma20  193.1 | eps 0.050 | loss    0.431 | w 9.62,9.79,9.90 | 1062s
[dino_vqc_birds_v2] ep  580 | steps  29522/34000 | score  185 | ma20  203.2 | eps 0.050 | loss    0.569 | w 9.67,9.83,9.70 | 1080s
[dino_vqc_birds_v2] ep  590 | steps  30012/34000 | score  185 | ma20  206.5 | eps 0.050 | loss    0.761 | w 9.59,9.92,9.69 | 1098s
[dino_vqc_birds_v2] ep  600 | steps  30508/34000 | score  185 | ma20  194.8 | eps 0.050 | loss    0.823 | w 9.73,9.77,9.75 | 1115s
[dino_vqc_birds_v2] ep  610 | steps  30979/34000 | score  185 | ma20  190.6 | eps 0.050 | loss    0.744 | w 9.60,9.67,9.60 | 1131s
[dino_vqc_birds_v2] ep  620 | steps  31486/34000 | score  185 | ma20  192.7 | eps 0.050 | loss    0.200 | w 9.65,9.75,9.61 | 1148s
[dino_vqc_birds_v2] ep  630 | steps  32038/34000 | score  182 | ma20  209.1 | eps 0.050 | loss    0.342 | w 9.57,9.66,9.68 | 1253s
[dino_vqc_birds_v2] ep  640 | steps  32505/34000 | score  185 | ma20  201.3 | eps 0.050 | loss    0.629 | w 9.67,9.73,9.64 | 1272s
[dino_vqc_birds_v2] ep  650 | steps  32978/34000 | score  185 | ma20  185.4 | eps 0.050 | loss    0.365 | w 9.43,9.51,9.47 | 1288s
[dino_vqc_birds_v2] ep  660 | steps  33458/34000 | score  185 | ma20  187.9 | eps 0.050 | loss    0.003 | w 9.46,9.44,9.51 | 1304s
[dino_vqc_birds_v2] ep  670 | steps  33944/34000 | score  185 | ma20  190.8 | eps 0.050 | loss    0.487 | w 9.42,9.46,9.34 | 1321s
[dino_vqc_birds_v2] EVAL(best) mean 185.3 median 185.0 best 186 (min 185)
[dino_vqc_birds_v2] saved checkpoint -> C:\Users\minni\Desktop\qiskit_hack\QRL\results\dino_vqc_birds_v2.pt
[dino_vqc_birds_v2] logs: C:\Users\minni\Desktop\qiskit_hack\QRL\results\dino_vqc_birds_v2.csv (per-episode) | C:\Users\minni\Desktop\qiskit_hack\QRL\results\dino_vqc_birds_v2.log (console)
