episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,13,13.0,13.0,,9.461540222167969,0.029165983200073242,1,,,,,0.654747,,18.768583,0.220159
1,33,20.0,16.5,,9.461540222167969,0.029165983200073242,1,,,,,0.654747,,18.768583,0.220159
2,74,41.0,24.666666666666668,,9.461540222167969,0.029165983200073242,1,,,,,0.654747,,18.768583,0.220159
3,91,17.0,22.75,,9.461540222167969,0.029165983200073242,1,,,,,0.654747,,18.768583,0.220159
4,119,28.0,23.8,,9.461540222167969,0.029165983200073242,1,,,,,0.654747,,18.768583,0.220159
5,150,31.0,25.0,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
6,172,22.0,24.571428571428573,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
7,189,17.0,23.625,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
8,200,11.0,22.22222222222222,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
9,245,45.0,24.5,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
10,272,27.0,24.727272727272727,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
11,293,21.0,24.416666666666668,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
12,308,15.0,23.692307692307693,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
13,356,48.0,25.428571428571427,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
14,373,17.0,24.866666666666667,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
15,382,9.0,23.875,,9.461540222167969,0.03203582763671875,1,,,,,0.654747,,18.768583,0.220159
16,395,13.0,23.235294117647058,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
17,431,36.0,23.944444444444443,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
18,446,15.0,23.473684210526315,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
19,475,29.0,23.75,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
20,492,17.0,23.428571428571427,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
21,501,9.0,22.772727272727273,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
22,520,19.0,22.608695652173914,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
23,540,20.0,22.5,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
24,562,22.0,22.48,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
25,609,47.0,23.423076923076923,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
26,627,18.0,23.22222222222222,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
27,649,22.0,23.178571428571427,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
28,670,21.0,23.103448275862068,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
29,691,21.0,23.033333333333335,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
30,708,17.0,22.838709677419356,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
31,720,12.0,22.5,,9.24179744720459,0.05493497848510742,2,,,,,0.664255,,17.978760,0.147062
32,736,16.0,22.303030303030305,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
33,748,12.0,22.0,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
34,783,35.0,22.37142857142857,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
35,828,45.0,23.0,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
36,840,12.0,22.7027027027027,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
37,859,19.0,22.605263157894736,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
38,878,19.0,22.512820512820515,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
39,903,25.0,22.575,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
40,913,10.0,22.26829268292683,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
41,926,13.0,22.047619047619047,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
42,965,39.0,22.441860465116278,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
43,1016,51.0,23.09090909090909,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
44,1042,26.0,23.155555555555555,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
45,1062,20.0,23.08695652173913,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
46,1079,17.0,22.95744680851064,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
47,1097,18.0,22.854166666666668,,8.480566342671713,0.08213329315185547,3,,,,,0.671602,,13.868389,0.092565
48,1117,20.0,22.79591836734694,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
49,1135,18.0,22.7,,7.791279911994934,0.10221743583679199,4,,,9.2,0.7483314773547882,0.676085,,11.386448,0.203118
50,1161,26.0,22.764705882352942,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
51,1176,15.0,22.615384615384617,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
52,1185,9.0,22.358490566037737,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
53,1196,11.0,22.14814814814815,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
54,1210,14.0,22.0,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
55,1237,27.0,22.089285714285715,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
56,1255,18.0,22.017543859649123,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
57,1279,24.0,22.051724137931036,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
58,1295,16.0,21.949152542372882,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
59,1322,27.0,22.033333333333335,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
60,1341,19.0,21.983606557377048,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
61,1354,13.0,21.838709677419356,,7.791279911994934,0.10221743583679199,4,,,,,0.676085,,11.386448,0.203118
