episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s
1,18,18.0,18.0,0.9991585,nan,0.002
2,32,14.0,16.0,0.9984655,nan,0.003
3,49,17.0,16.333333333333332,0.997624,nan,0.004
4,75,26.0,18.75,0.996337,nan,0.006
5,109,34.0,21.8,0.994654,nan,0.008
6,136,27.0,22.666666666666668,0.9933175,nan,0.012
7,196,60.0,28.0,0.9903475,nan,0.016
8,215,19.0,26.875,0.989407,nan,0.018
9,231,16.0,25.666666666666668,0.988615,nan,0.02
10,250,19.0,25.0,0.9876745,nan,0.021
11,274,24.0,24.90909090909091,0.9864865,nan,0.023
12,286,12.0,23.833333333333332,0.9858925,nan,0.025
13,305,19.0,23.46153846153846,0.984952,nan,0.028
14,326,21.0,23.285714285714285,0.9839125,nan,0.029
15,340,14.0,22.666666666666668,0.9832195,nan,0.03
16,353,13.0,22.0625,0.982576,nan,0.033
17,372,19.0,21.88235294117647,0.9816355,nan,0.033
18,398,26.0,22.11111111111111,0.9803485,nan,0.036
19,416,18.0,21.894736842105264,0.9794575,nan,0.037
20,436,20.0,21.8,0.9784675,nan,0.039
21,457,21.0,21.761904761904763,0.977428,nan,0.04
22,469,12.0,21.318181818181817,0.976834,nan,0.041
23,479,10.0,20.82608695652174,0.976339,nan,0.041
24,506,27.0,21.083333333333332,0.9750025,nan,0.046
25,517,11.0,20.68,0.974458,nan,0.047
26,546,29.0,21.0,0.9730225,nan,0.051
27,560,14.0,20.74074074074074,0.9723295,nan,0.052
28,593,33.0,21.178571428571427,0.970696,nan,0.054
29,609,16.0,21.0,0.969904,nan,0.055
30,621,12.0,20.7,0.96931,nan,0.056
31,635,14.0,20.483870967741936,0.968617,nan,0.057
32,664,29.0,20.75,0.9671815,nan,0.058
33,682,18.0,20.666666666666668,0.9662905,nan,0.06
34,695,13.0,20.441176470588236,0.965647,nan,0.061
35,737,42.0,21.057142857142857,0.963568,nan,0.065
36,753,16.0,20.916666666666668,0.962776,nan,0.066
37,770,17.0,20.81081081081081,0.9619345,nan,0.068
38,786,16.0,20.68421052631579,0.9611425,nan,0.07
39,816,30.0,20.923076923076923,0.9596575,nan,0.071
40,828,12.0,20.7,0.9590635,nan,0.073
41,866,38.0,21.121951219512194,0.9571825,nan,0.076
42,876,10.0,20.857142857142858,0.9566875,nan,0.077
43,917,41.0,21.325581395348838,0.954658,nan,0.081
