episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,31,31.0,31.0,,11.753684997558594,0.24347686767578125,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
1,59,28.0,29.5,,11.753684997558594,0.24347686767578125,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
2,76,17.0,25.333333333333332,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
3,97,21.0,24.25,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
4,153,56.0,30.6,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
5,186,33.0,31.0,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
6,202,16.0,28.857142857142858,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
7,220,18.0,27.5,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
8,245,25.0,27.22222222222222,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
9,266,21.0,26.6,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
10,281,15.0,25.545454545454547,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
11,302,21.0,25.166666666666668,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
12,330,28.0,25.384615384615383,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
13,349,19.0,24.928571428571427,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
14,362,13.0,24.133333333333333,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
15,394,32.0,24.625,,11.753684997558594,0.2444760799407959,1,,"0.990004,1.010000,0.990000,1.010000",,,0.684454,1.064363,23.530647,-0.006619
16,405,11.0,23.823529411764707,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
17,436,31.0,24.22222222222222,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
18,468,32.0,24.63157894736842,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
19,524,56.0,26.2,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
20,538,14.0,25.61904761904762,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
21,549,11.0,24.954545454545453,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
22,567,18.0,24.652173913043477,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
23,603,36.0,25.125,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
24,652,49.0,26.08,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
25,670,18.0,25.76923076923077,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
26,693,23.0,25.666666666666668,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
27,739,46.0,26.392857142857142,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
28,766,27.0,26.413793103448278,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
29,799,33.0,26.633333333333333,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
30,810,11.0,26.129032258064516,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
31,827,17.0,25.84375,,10.444892406463623,0.5249583721160889,2,,"0.981060,1.015822,0.991317,1.016405",,,0.681858,1.130630,18.298717,0.017931
32,840,13.0,25.454545454545453,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
33,860,20.0,25.294117647058822,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
34,898,38.0,25.65714285714286,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
35,918,20.0,25.5,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
36,932,14.0,25.18918918918919,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
37,946,14.0,24.894736842105264,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
38,957,11.0,24.53846153846154,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
39,967,10.0,24.175,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
40,993,26.0,24.21951219512195,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
41,1006,13.0,23.952380952380953,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
42,1028,22.0,23.906976744186046,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
43,1048,20.0,23.818181818181817,,10.520378430684408,0.7039966583251953,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
44,1082,34.0,24.044444444444444,,10.520378430684408,0.7044453620910645,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
45,1096,14.0,23.82608695652174,,10.520378430684408,0.7044453620910645,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
46,1111,15.0,23.638297872340427,,10.520378430684408,0.7044453620910645,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
47,1121,10.0,23.354166666666668,,10.520378430684408,0.7044453620910645,3,,"0.973221,1.023514,0.989571,1.024292",,,0.681111,1.198975,21.385824,-0.017489
48,1149,28.0,23.448979591836736,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
49,1168,19.0,23.36,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",402.4,195.2,0.676550,1.267122,15.420822,0.105545
50,1182,14.0,23.176470588235293,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
51,1206,24.0,23.192307692307693,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
52,1223,17.0,23.07547169811321,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
53,1242,19.0,23.0,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
54,1267,25.0,23.036363636363635,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
55,1283,16.0,22.910714285714285,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
56,1293,10.0,22.68421052631579,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
57,1351,58.0,23.29310344827586,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
58,1373,22.0,23.271186440677965,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
59,1424,51.0,23.733333333333334,,9.816367149353027,0.9110574722290039,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
60,1446,22.0,23.704918032786885,,9.816367149353027,0.9120588302612305,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
61,1462,16.0,23.580645161290324,,9.816367149353027,0.9120588302612305,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
62,1471,9.0,23.349206349206348,,9.816367149353027,0.9120588302612305,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
63,1486,15.0,23.21875,,9.816367149353027,0.9120588302612305,4,,"0.964576,1.032066,0.985634,1.032971",,,0.676550,1.267122,15.420822,0.105545
64,1508,22.0,23.2,,8.81818962097168,1.268754005432129,5,,"0.956638,1.039328,0.985145,1.040296",,,0.680659,1.338287,9.671751,0.151383
65,1559,51.0,23.62121212121212,,8.81818962097168,1.268754005432129,5,,"0.956638,1.039328,0.985145,1.040296",,,0.680659,1.338287,9.671751,0.151383
66,1599,40.0,23.865671641791046,,8.81818962097168,1.268754005432129,5,,"0.956638,1.039328,0.985145,1.040296",,,0.680659,1.338287,9.671751,0.151383
67,1618,19.0,23.794117647058822,,8.81818962097168,1.268754005432129,5,,"0.956638,1.039328,0.985145,1.040296",,,0.680659,1.338287,9.671751,0.151383
68,1648,30.0,23.884057971014492,,8.81818962097168,1.268754005432129,5,,"0.956638,1.039328,0.985145,1.040296",,,0.680659,1.338287,9.671751,0.151383
