episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta,value_loss,explained_variance
0,14,14.0,14.0,,20.060537338256836,0.7030982971191406,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
1,24,10.0,12.0,,20.060537338256836,0.7041127681732178,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
2,42,18.0,14.0,,20.060537338256836,0.7041127681732178,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
3,59,17.0,14.75,,20.060537338256836,0.7041127681732178,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
4,74,15.0,14.8,,20.060537338256836,0.7041127681732178,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
5,114,40.0,19.0,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
6,139,25.0,19.857142857142858,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
7,165,26.0,20.625,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
8,177,12.0,19.666666666666668,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
9,188,11.0,18.8,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
10,208,20.0,18.90909090909091,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
11,245,37.0,20.416666666666668,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
12,273,28.0,21.0,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
13,293,20.0,20.928571428571427,,20.060537338256836,0.7062203884124756,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
14,305,12.0,20.333333333333332,,20.060537338256836,0.7073330879211426,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
15,335,30.0,20.9375,,20.060537338256836,0.7073330879211426,1,,"0.990002,1.010000,1.009999,1.010000",,,0.685388,1.064363,40.144363,0.680889
16,352,17.0,20.705882352941178,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
17,370,18.0,20.555555555555557,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
18,393,23.0,20.68421052631579,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
19,411,18.0,20.55,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
20,440,29.0,20.952380952380953,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
21,466,26.0,21.181818181818183,,20.545793533325195,1.2408201694488525,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
22,478,12.0,20.782608695652176,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
23,491,13.0,20.458333333333332,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
24,512,21.0,20.48,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
25,529,17.0,20.346153846153847,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
26,547,18.0,20.25925925925926,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
27,566,19.0,20.214285714285715,,20.545793533325195,1.241821527481079,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
28,595,29.0,20.517241379310345,,20.545793533325195,1.2428202629089355,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
29,606,11.0,20.2,,20.545793533325195,1.2428202629089355,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
30,621,15.0,20.032258064516128,,20.545793533325195,1.2428202629089355,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
31,630,9.0,19.6875,,20.545793533325195,1.2428202629089355,2,,"0.982937,1.020011,1.003425,1.019688",,,0.684139,1.128646,42.079216,0.607000
32,660,30.0,20.0,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
33,693,33.0,20.38235294117647,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
34,715,22.0,20.428571428571427,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
35,735,20.0,20.416666666666668,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
36,765,30.0,20.675675675675677,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
37,813,48.0,21.394736842105264,,18.96569601694743,2.3087332248687744,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
38,838,25.0,21.487179487179485,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
39,859,21.0,21.475,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
40,872,13.0,21.26829268292683,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
41,950,78.0,22.61904761904762,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
42,996,46.0,23.162790697674417,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
43,1016,20.0,23.09090909090909,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
44,1033,17.0,22.955555555555556,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
45,1068,35.0,23.217391304347824,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
46,1081,13.0,23.0,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
47,1123,42.0,23.395833333333332,,18.96569601694743,2.3097450733184814,3,,"0.977330,1.029963,0.996119,1.029490",,,0.683774,1.194339,31.641878,0.504691
48,1151,28.0,23.489795918367346,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
49,1168,17.0,23.36,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",402.4,195.2,0.677121,1.263283,33.977554,0.365248
50,1197,29.0,23.470588235294116,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
51,1248,51.0,24.0,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
52,1271,23.0,23.9811320754717,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
53,1293,22.0,23.944444444444443,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
54,1340,47.0,24.363636363636363,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
55,1356,16.0,24.214285714285715,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
56,1376,20.0,24.140350877192983,,18.466530561447144,3.020167112350464,4,,"0.971241,1.039901,0.987822,1.039213",,,0.677121,1.263283,33.977554,0.365248
