episode,env_steps,reward,ma100,epsilon,mean_loss,wall_clock_s,w0,w1,lam0,lam1,lam2,lam3
1,18,18.0,18.0,0.9991585,nan,0.002,1.0,1.0,1.0,1.0,1.0,1.0
2,32,14.0,16.0,0.9984655,nan,0.003,1.0,1.0,1.0,1.0,1.0,1.0
3,49,17.0,16.333333333333332,0.997624,nan,0.005,1.0,1.0,1.0,1.0,1.0,1.0
4,75,26.0,18.75,0.996337,nan,0.009,1.0,1.0,1.0,1.0,1.0,1.0
5,145,70.0,29.0,0.992872,1.706064703023952,28.185,-2.6746809482574463,3.8259835243225098,0.9926885962486267,1.0394052267074585,0.9359104633331299,0.9809707999229431
6,158,13.0,26.333333333333332,0.9922285,4.329522013664246,36.204,-1.4637969732284546,1.2010157108306885,0.9763737916946411,1.073980689048767,0.9561949372291565,0.970852255821228
7,226,68.0,32.285714285714285,0.9888625,1.7154127482105703,76.387,-1.2710905075073242,2.4821667671203613,1.0213810205459595,1.1275168657302856,0.9005943536758423,1.029563307762146
8,241,15.0,30.125,0.98812,2.879504442214966,84.551,-2.3574564456939697,2.0698041915893555,1.0233566761016846,1.13126540184021,0.9250784516334534,1.0363984107971191
9,254,13.0,28.22222222222222,0.9874765,2.3285168821995077,91.276,-3.092217445373535,1.7477129697799683,1.0058547258377075,1.103572964668274,0.9550894498825073,1.021457314491272
10,273,19.0,27.3,0.986536,1.0051027881471735,100.761,-4.306118011474609,2.1455142498016357,0.9878606200218201,1.0672683715820312,0.9512311816215515,1.054842472076416
11,299,26.0,27.181818181818183,0.985249,1.1118481179269462,114.132,-6.495867729187012,4.506955623626709,0.9314972162246704,1.0110573768615723,0.9828815460205078,1.0136690139770508
12,311,12.0,25.916666666666668,0.984655,1.2245526388287544,120.001,-5.854621410369873,2.2899622917175293,0.9415969252586365,0.9731853604316711,0.938264787197113,0.9973978996276855
13,333,22.0,25.615384615384617,0.983566,4.900241407481107,131.297,-9.29454231262207,3.3510992527008057,0.9593729972839355,0.9553660154342651,0.9809706211090088,0.9514275193214417
14,360,27.0,25.714285714285715,0.9822295,2.2949824542910964,145.392,-12.163427352905273,5.656271457672119,1.0111083984375,0.9156370162963867,0.9356944561004639,0.8806772232055664
15,415,55.0,27.666666666666668,0.979507,46.61155020106923,178.834,29.928733825683594,-5.498764991760254,-0.5458791851997375,-2.953474998474121,-2.536498785018921,-3.8453779220581055
16,432,17.0,27.0,0.9786655,12.955839129055247,187.673,21.50539779663086,9.082326889038086,-0.5021766424179077,-2.7099480628967285,-2.5753495693206787,-3.853952407836914
