episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,26,26.0,26.0,1.0,0.4863368272781372,0.06375455856323242,1,"1.100000,1.100000","0.999000,0.999000,0.999000,0.999000",,
1,44,18.0,22.0,0.99,0.37935900688171387,0.12089347839355469,3,"1.297035,1.295753","0.997736,0.997022,0.997084,0.997009",,
2,55,11.0,18.333333333333332,0.9801,0.49407336115837097,0.16849350929260254,4,"1.396702,1.392599","0.997152,0.996095,0.996139,0.996007",,
3,79,24.0,19.75,0.970299,0.3945234566926956,0.22513937950134277,6,"1.597648,1.582296","0.996699,0.994167,0.994216,0.993988",,
4,109,30.0,21.8,0.96059601,0.4208155671755473,0.34068918228149414,9,"1.901752,1.858963","0.996292,0.991165,0.991328,0.990918",,
5,128,19.0,21.333333333333332,0.9509900498999999,0.4630466550588608,0.42117977142333984,11,"2.099773,2.045419","0.997093,0.989158,0.989406,0.988909",,
6,147,19.0,21.0,0.941480149401,0.43147748708724976,0.49593162536621094,13,"2.294476,2.233580","0.998078,0.987128,0.987414,0.986945",,
7,170,23.0,21.25,0.9320653479069899,0.4128240942955017,0.6182503700256348,16,"2.590963,2.514930","0.999813,0.984077,0.984492,0.983918",,
8,190,20.0,21.11111111111111,0.9227446944279201,0.38738198578357697,0.6807799339294434,18,"2.788831,2.699334","1.000756,0.982122,0.982562,0.981853",,
9,214,24.0,21.4,0.9135172474836408,0.5296471267938614,0.7846279144287109,20,"2.980936,2.888732","1.001857,0.980081,0.980668,0.979878",,
10,237,23.0,21.545454545454547,0.9043820750088044,0.4889647364616394,0.8719406127929688,22,"3.180482,3.068738","1.003362,0.978067,0.978654,0.977943",,
11,249,12.0,20.75,0.8953382542587164,0.5243656635284424,0.9039852619171143,23,"3.278820,3.159869","1.004153,0.977064,0.977591,0.976912",,
12,272,23.0,20.923076923076923,0.8863848717161292,0.4600570499897003,1.023536205291748,26,"3.574975,3.433793","1.006627,0.974185,0.974504,0.973668",,
13,286,14.0,20.428571428571427,0.8775210229989678,0.512880802154541,1.056128978729248,27,"3.671543,3.526141","1.007408,0.973229,0.973409,0.972616",,
14,345,59.0,23.0,0.8687458127689782,0.5075737088918686,1.3273663520812988,33,"4.241099,4.085330","1.011627,0.967445,0.966576,0.966831",,
15,366,21.0,22.875,0.8600583546412884,0.6002608835697174,1.4283673763275146,35,"4.427209,4.279382","1.012187,0.965371,0.964206,0.964941",,
16,398,32.0,23.41176470588235,0.8514577710948755,0.5116285582383474,1.562103033065796,38,"4.700704,4.572073","1.013019,0.962510,0.960681,0.962211",,
17,410,12.0,22.77777777777778,0.8429431933839268,0.6155065298080444,1.6559195518493652,40,"4.886473,4.751915","1.014163,0.960247,0.958423,0.960167",,
18,430,20.0,22.63157894736842,0.8345137614500875,0.6528002023696899,1.7293400764465332,42,"5.067344,4.928335","1.014399,0.957931,0.956101,0.958054",,
19,448,18.0,22.4,0.8261686238355866,0.4644836187362671,1.7921855449676514,43,"5.162018,5.013560","1.014583,0.956748,0.954930,0.957030",,
20,477,29.0,22.714285714285715,0.8179069375972308,0.6366929312547048,1.9573822021484375,46,"5.441468,5.273879","1.015084,0.953258,0.951464,0.953620",,
21,497,20.0,22.59090909090909,0.8097278682212584,0.7101649045944214,2.053154945373535,48,"5.615890,5.456045","1.015526,0.950897,0.948956,0.951474",,
22,542,45.0,23.565217391304348,0.8016305895390459,0.5111360073089599,2.2906761169433594,53,"6.073434,5.869047","1.015478,0.945216,0.942899,0.945410",,
23,576,34.0,24.0,0.7936142836436554,0.6879517436027527,2.4273552894592285,56,"6.330107,6.131596","1.015589,0.941905,0.939147,0.942014",,
24,597,21.0,23.88,0.7856781408072188,0.6208011507987976,2.5112831592559814,58,"6.493838,6.317986","1.015787,0.939615,0.936767,0.939856",,
25,612,15.0,23.53846153846154,0.7778213593991467,0.6462218016386032,2.5840697288513184,60,"6.657812,6.500804","1.016157,0.937704,0.934209,0.937743",,
26,623,11.0,23.074074074074073,0.7700431458051551,0.662275493144989,2.6436896324157715,61,"6.739199,6.594523","1.016339,0.936921,0.932897,0.936844",,
27,644,21.0,23.0,0.7623427143471035,0.5195020735263824,2.7614786624908447,63,"6.906557,6.778946","1.016710,0.935364,0.930243,0.934859",,
28,662,18.0,22.82758620689655,0.7547192872036326,0.551679790019989,2.8487820625305176,65,"7.079315,6.965039","1.017059,0.933608,0.927753,0.932635",,
29,687,25.0,22.9,0.7471720943315961,0.6578734517097473,2.974500894546509,67,"7.260046,7.144443","1.017716,0.931503,0.925345,0.930235",,
30,727,40.0,23.451612903225808,0.7397003733882802,0.7278730869293213,3.1726789474487305,71,"7.635696,7.515887","1.019629,0.927434,0.920236,0.925338",,
31,740,13.0,23.125,0.7323033696543975,0.7439852952957153,3.2861618995666504,73,"7.824115,7.693532","1.021102,0.925472,0.917522,0.923127",,
32,761,21.0,23.060606060606062,0.7249803359578534,0.6610583961009979,3.4025626182556152,75,"8.020739,7.866813","1.023038,0.923457,0.914678,0.920778",,
33,773,12.0,22.735294117647058,0.7177305325982749,0.6221558451652527,3.446798086166382,76,"8.118779,7.953548","1.024159,0.922407,0.913172,0.919597",,
34,796,23.0,22.742857142857144,0.7105532272722921,0.998458743095398,3.528463363647461,78,"8.302984,8.131244","1.026129,0.920247,0.910156,0.917180",,
35,812,16.0,22.555555555555557,0.7034476949995692,0.8108881115913391,3.631213426589966,80,"8.484196,8.305017","1.028187,0.918029,0.907155,0.914831",,
36,831,19.0,22.45945945945946,0.6964132180495735,0.7097781896591187,3.7260279655456543,82,"8.669806,8.475262","1.030311,0.916115,0.904108,0.912633",,
37,860,29.0,22.63157894736842,0.6894490858690777,0.7281984289487203,3.8553223609924316,85,"8.931295,8.745474","1.032996,0.913524,0.899420,0.910125",,
38,879,19.0,22.53846153846154,0.682554595010387,0.65504390001297,3.918788433074951,86,"9.014900,8.839687","1.033845,0.912776,0.897840,0.909342",,
39,906,27.0,22.65,0.6757290490602831,0.7238474289576212,4.1100451946258545,89,"9.259192,9.127273","1.035806,0.910704,0.893253,0.906974",,
40,929,23.0,22.658536585365855,0.6689717585696803,0.7579917907714844,4.215107679367065,91,"9.429820,9.311259","1.036977,0.909352,0.890287,0.905111",,
41,950,21.0,22.61904761904762,0.6622820409839835,0.6944509744644165,4.367109775543213,94,"9.695578,9.589913","1.038780,0.906962,0.886011,0.901988",,
42,966,16.0,22.46511627906977,0.6556592205741436,0.89069002866745,4.423277378082275,95,"9.782589,9.681192","1.039285,0.906189,0.884659,0.900901",,
43,1003,37.0,22.795454545454547,0.6491026283684022,0.5785052552819252,4.6530303955078125,99,"10.128262,10.041420","1.041410,0.902679,0.879483,0.896356",,
44,1032,29.0,22.933333333333334,0.6426116020847181,0.5889580249786377,4.838084697723389,102,"10.388612,10.304052","1.043245,0.900560,0.875525,0.892646",,
45,1062,30.0,23.08695652173913,0.6361854860638709,0.76923801501592,4.989242076873779,105,"10.648520,10.543212","1.045012,0.898696,0.871931,0.888730",,
46,1086,24.0,23.106382978723403,0.6298236312032323,1.0818535089492798,5.119771718978882,107,"10.812104,10.718419","1.046813,0.897505,0.869364,0.886657",,
47,1108,22.0,23.083333333333332,0.6235253948912,0.9658847451210022,5.213763952255249,109,"10.977480,10.900176","1.048839,0.896259,0.866717,0.884475",,
48,1129,21.0,23.040816326530614,0.617290140942288,0.6465586721897125,5.350990295410156,111,"11.148848,11.075967","1.050147,0.894845,0.864088,0.882177",,
49,1145,16.0,22.9,0.611117239532865,0.7395002543926239,5.468055009841919,113,"11.321352,11.247338","1.051531,0.893586,0.861536,0.879828",20.6,6.437390775772433
50,1162,17.0,22.784313725490197,0.6050060671375364,0.8277747631072998,5.574615716934204,115,"11.490623,11.423607","1.052965,0.892488,0.859066,0.877245",,
51,1197,35.0,23.01923076923077,0.598956006466161,0.7412966092427572,5.775355815887451,118,"11.753899,11.681945","1.054303,0.890769,0.855116,0.873536",,
52,1212,15.0,22.867924528301888,0.5929664464014994,0.8744411766529083,5.869537115097046,120,"11.913713,11.854862","1.054811,0.889926,0.852560,0.871342",,
53,1233,21.0,22.833333333333332,0.5870367819374844,0.5987273752689362,5.986450910568237,122,"12.075377,12.031938","1.055515,0.889114,0.849972,0.869164",,
54,1246,13.0,22.654545454545456,0.5811664141181095,0.9070488810539246,6.075460433959961,123,"12.158476,12.120828","1.055893,0.888627,0.848806,0.867980",,
55,1261,15.0,22.517857142857142,0.5753547499769285,0.6092385649681091,6.212799787521362,125,"12.329489,12.302486","1.056657,0.887520,0.846440,0.865671",,
56,1289,28.0,22.614035087719298,0.5696012024771592,1.3025436401367188,6.377529621124268,127,"12.491277,12.484743","1.057549,0.886634,0.844211,0.863575",,
57,1325,36.0,22.844827586206897,0.5639051904523875,0.7615174502134323,6.616739749908447,131,"12.820925,12.829056","1.059956,0.884214,0.839505,0.859241",,
58,1339,14.0,22.694915254237287,0.5582661385478637,1.010535717010498,6.655099868774414,132,"12.900408,12.912771","1.060447,0.883412,0.838526,0.858104",,
59,1411,72.0,23.516666666666666,0.5526834771623851,0.9810167253017426,7.143800497055054,140,"13.544290,13.619073","1.063090,0.877342,0.831079,0.848955",,
60,1446,35.0,23.704918032786885,0.5471566423907612,0.6505699257055918,7.3596508502960205,143,"13.788174,13.884001","1.064775,0.875519,0.827379,0.846248",,
61,1479,33.0,23.85483870967742,0.5416850759668536,0.5452646712462107,7.542864799499512,146,"14.041084,14.162824","1.066391,0.873304,0.823586,0.843302",,
62,1559,80.0,24.746031746031747,0.536268225207185,0.8072990775108337,8.084375858306885,154,"14.722342,14.863852","1.070227,0.867061,0.813466,0.834771",,
63,1608,49.0,25.125,0.5309055429551132,0.9843505144119262,8.443508386611938,159,"15.149964,15.231590","1.070083,0.864680,0.808215,0.829011",,
64,1649,41.0,25.369230769230768,0.525596487525562,1.0162596851587296,8.714486122131348,163,"15.500055,15.529516","1.069136,0.862158,0.804250,0.824013",,
65,1725,76.0,26.136363636363637,0.5203405226503064,1.1851740255951881,9.215213060379028,171,"16.143732,16.261738","1.066559,0.854769,0.794545,0.815233",,
