episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,88,11.0,11.0,1.0,0.41346696444920134,0.198868989944458,7,"1.688184,1.692753","1.003308,0.993322,0.996075,0.993159,0.999024,0.997926,0.993079,1.001477,1.003264,1.004136,0.993013,1.004987,0.995370,0.993350,0.993135,0.993715,1.001740,1.000072,0.993277,0.993185",,
1,111,14.0,12.5,0.99,0.40866957008838656,0.28217291831970215,10,"1.971706,1.981835","1.001743,0.990390,0.996474,0.990179,0.997731,0.998639,0.990179,0.999814,1.002654,1.006509,0.990009,1.007380,0.993322,0.990322,0.990938,0.991004,1.003271,1.000037,0.990456,0.990444",,
2,158,20.0,15.0,0.9801,0.4129811163459505,0.39992594718933105,14,"2.349736,2.367291","1.002107,0.986474,0.997239,0.986022,0.999194,0.999897,0.986418,0.997481,1.001953,1.009632,0.985952,1.010898,0.990439,0.986223,0.988473,0.987310,1.005374,0.999909,0.986528,0.986888",,
3,173,10.0,13.75,0.970299,0.4143210109323263,0.45888590812683105,16,"2.539992,2.558341","1.003023,0.984420,0.998533,0.983866,1.000602,1.001309,0.984457,0.996183,1.001101,1.011291,0.983825,1.012838,0.988656,0.984176,0.987566,0.985337,1.006653,0.999852,0.984445,0.984919",,
4,204,26.0,16.2,0.96059601,0.41332221344897624,0.5401937961578369,19,"2.835201,2.833881","1.004002,0.981410,1.000927,0.980697,1.003061,1.003382,0.981513,0.993582,0.999273,1.013708,0.980611,1.015738,0.986124,0.981129,0.985411,0.982261,1.007479,0.999864,0.981275,0.981827",,
5,211,27.0,18.0,0.9509900498999999,0.41384596526622774,0.5671236515045166,20,"2.934589,2.922884","1.004604,0.980666,1.001433,0.979726,1.003775,1.003620,0.980580,0.992603,0.999224,1.014440,0.979509,1.016604,0.985640,0.980072,0.984601,0.981245,1.007814,0.999840,0.980354,0.980754",,
6,226,29.0,19.571428571428573,0.941480149401,0.4105072958128793,0.5997951030731201,21,"3.034742,3.008696","1.005207,0.979847,1.001837,0.978757,1.004452,1.003726,0.979740,0.991607,0.999132,1.015028,0.978425,1.017438,0.985253,0.978987,0.983779,0.980193,1.007816,0.999808,0.979485,0.979669",,
7,297,15.0,19.0,0.9320653479069899,0.41959269664117266,0.819159746170044,28,"3.707562,3.622773","1.011054,0.974072,1.002474,0.971727,1.009367,1.001907,0.975214,0.984950,0.999403,1.017237,0.970769,1.022474,0.984861,0.971050,0.977553,0.973281,1.004876,0.999165,0.972926,0.972104",,
8,304,39.0,21.22222222222222,0.9227446944279201,0.42093213776062277,0.846358060836792,29,"3.805512,3.710640","1.011989,0.973443,1.002298,0.970649,1.010254,1.001359,0.974374,0.983930,0.999608,1.017433,0.969569,1.023364,0.984748,0.969972,0.976538,0.972234,1.004647,0.998951,0.971837,0.971047",,
9,335,28.0,21.9,0.9135172474836408,0.42353167198598385,0.9481773376464844,32,"4.100573,3.979512","1.014923,0.971151,1.002702,0.967320,1.013105,0.999862,0.971628,0.980950,0.999058,1.016841,0.965984,1.025995,0.984012,0.966653,0.973377,0.969055,1.003513,0.998383,0.968480,0.967879",,
10,350,15.0,21.272727272727273,0.9043820750088044,0.42650072101284475,1.019068956375122,34,"4.291739,4.161795","1.016409,0.969518,1.002877,0.965062,1.014860,0.998693,0.969608,0.979002,0.998721,1.016570,0.963706,1.027731,0.983423,0.964309,0.971796,0.967095,1.003766,0.998122,0.966122,0.965757",,
11,357,19.0,21.083333333333332,0.8953382542587164,0.42650072101284475,1.0195801258087158,34,"4.291739,4.161795","1.016409,0.969518,1.002877,0.965062,1.014860,0.998693,0.969608,0.979002,0.998721,1.016570,0.963706,1.027731,0.983423,0.964309,0.971796,0.967095,1.003766,0.998122,0.966122,0.965757",,
12,388,29.0,21.692307692307693,0.8863848717161292,0.4379702226535694,1.10398268699646,37,"4.564312,4.435709","1.017892,0.967328,1.001933,0.961648,1.017866,0.996590,0.966359,0.976876,0.998974,1.015918,0.960148,1.030742,0.981308,0.960987,0.970005,0.964265,1.005313,0.998149,0.962485,0.963034",,
13,403,52.0,23.857142857142858,0.8775210229989678,0.4445402790338565,1.1728668212890625,39,"4.745478,4.618341","1.019265,0.966227,1.000983,0.959390,1.019758,0.994897,0.964213,0.975484,0.999266,1.015560,0.957784,1.032813,0.980137,0.958750,0.968497,0.962323,1.006390,0.998388,0.960175,0.961083",,
14,418,14.0,23.2,0.8687458127689782,0.4472468599677086,1.2086927890777588,40,"4.836174,4.709411","1.020018,0.965479,1.000983,0.958187,1.020857,0.994443,0.963104,0.974762,0.999153,1.015461,0.956675,1.033901,0.979489,0.957700,0.967765,0.961261,1.006811,0.998516,0.959004,0.960144",,
