episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,51,51.0,51.0,1.0,0.5023127123713493,0.33463573455810547,4,"1.391732,1.399999","0.999488,0.996107,0.996024,0.996005",,
1,82,31.0,41.0,0.99,0.48466482758522034,0.5294704437255859,7,"1.683834,1.697436","0.998368,0.993317,0.993011,0.993153",,
2,94,12.0,31.333333333333332,0.9801,0.4433310031890869,0.6002027988433838,8,"1.781780,1.795230","0.998199,0.992372,0.992002,0.992184",,
3,143,49.0,35.75,0.970299,0.43212186694145205,1.0953996181488037,13,"2.269340,2.277657","0.998592,0.987509,0.987082,0.987171",,
4,155,12.0,31.0,0.96059601,0.527839720249176,1.1776692867279053,14,"2.361616,2.376112","0.998927,0.986574,0.986079,0.986169",,
5,187,32.0,31.166666666666668,0.9509900498999999,0.4801965554555257,1.4354016780853271,17,"2.641000,2.665689","1.000822,0.983735,0.982997,0.983028",,
6,214,27.0,30.571428571428573,0.941480149401,0.47591548164685565,1.649583339691162,20,"2.927300,2.950520","1.002602,0.980882,0.979915,0.979759",,
7,228,14.0,28.5,0.9320653479069899,0.44579797983169556,1.7177867889404297,21,"3.021632,3.046544","1.003041,0.979946,0.978883,0.978656",,
8,242,14.0,26.88888888888889,0.9227446944279201,0.5562086999416351,1.8622047901153564,23,"3.202625,3.244883","1.004065,0.977977,0.976753,0.976441",,
9,276,34.0,27.6,0.9135172474836408,0.4921642641226451,2.151219129562378,26,"3.461654,3.542658","1.005691,0.975103,0.973478,0.973285",,
10,288,12.0,26.181818181818183,0.9043820750088044,0.4694328308105469,2.2407965660095215,27,"3.547859,3.637870","1.006378,0.974213,0.972444,0.972174",,
11,330,42.0,27.5,0.8953382542587164,0.5144845604896545,2.625678300857544,32,"3.989469,4.102052","1.008953,0.969777,0.967008,0.966303",,
12,341,11.0,26.23076923076923,0.8863848717161292,0.46939101815223694,2.6911370754241943,33,"4.080678,4.192449","1.009660,0.968749,0.965834,0.965246",,
13,354,13.0,25.285714285714285,0.8775210229989678,0.48458608984947205,2.7873785495758057,34,"4.173036,4.283288","1.010292,0.967788,0.964669,0.964157",,
14,383,29.0,25.533333333333335,0.8687458127689782,0.47198957204818726,3.043672561645508,37,"4.448573,4.544646","1.011285,0.964901,0.961284,0.960917",,
15,412,29.0,25.75,0.8600583546412884,0.5162123839060465,3.3483726978302,40,"4.714927,4.798649","1.012124,0.962108,0.958062,0.957749",,
16,446,34.0,26.235294117647058,0.8514577710948755,0.48549339175224304,3.6634578704833984,43,"4.987229,5.041042","1.013087,0.959256,0.954976,0.954109",,
17,495,49.0,27.5,0.8429431933839268,0.5978676915168762,4.202258825302124,48,"5.442035,5.460725","1.015251,0.953792,0.949195,0.948304",,
18,557,62.0,29.31578947368421,0.8345137614500875,0.5700660745302836,4.793287754058838,54,"5.985735,5.979521","1.019488,0.946178,0.941330,0.941460",,
19,577,20.0,28.85,0.8261686238355866,0.5153892934322357,5.040358304977417,56,"6.168865,6.149814","1.021034,0.943707,0.938815,0.939005",,
20,588,11.0,28.0,0.8179069375972308,0.5979831218719482,5.13532829284668,57,"6.259936,6.234093","1.021720,0.942445,0.937631,0.937786",,
21,638,50.0,29.0,0.8097278682212584,0.7397995829582215,5.704705476760864,62,"6.710742,6.646850","1.025169,0.936066,0.931626,0.931662",,
22,657,19.0,28.565217391304348,0.8016305895390459,0.589340090751648,5.8828535079956055,64,"6.895208,6.818190","1.026593,0.933425,0.929292,0.929067",,
23,677,20.0,28.208333333333332,0.7936142836436554,0.5095976442098618,6.085803508758545,66,"7.077583,6.994060","1.028191,0.931097,0.927101,0.926458",,
24,720,43.0,28.8,0.7856781408072188,0.6977183818817139,6.578957796096802,71,"7.529222,7.453296","1.033880,0.925368,0.920627,0.920790",,
25,732,12.0,28.153846153846153,0.7778213593991467,0.8228682279586792,6.664985179901123,72,"7.614042,7.543871","1.034944,0.924199,0.919296,0.919731",,
26,756,24.0,28.0,0.7700431458051551,0.8172379434108734,6.961785793304443,74,"7.773261,7.734034","1.037296,0.921550,0.916611,0.917582",,
27,773,17.0,27.607142857142858,0.7623427143471035,0.9172247052192688,7.161491870880127,76,"7.926757,7.921365","1.039176,0.919183,0.914046,0.915239",,
28,787,14.0,27.137931034482758,0.7547192872036326,0.7748520374298096,7.306011438369751,77,"8.011710,8.011343","1.040057,0.918121,0.912807,0.913915",,
