episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam
0,9,9.0,9.0,1.0,,0.005829811096191406,0,"1.000000,1.000000","1.000000,1.000000,1.000000,1.000000"
1,61,52.0,30.5,0.99,1.6403742601042208,1.0046331882476807,46,"5.573407,5.499654","1.048016,0.969972,0.949799,0.948251"
2,81,20.0,27.0,0.9801,3.0521201968193052,1.4808695316314697,66,"7.394911,7.501140","1.060949,0.943730,0.923100,0.920793"
3,118,37.0,29.5,0.970299,4.110176357063088,2.3564653396606445,103,"10.995901,11.386845","1.055395,0.890834,0.873891,0.871666"
4,138,20.0,27.6,0.96059601,5.1635004580020905,2.8184823989868164,123,"12.733893,13.589817","1.051435,0.861169,0.844607,0.848203"
5,162,24.0,27.0,0.9509900498999999,6.440513879060745,3.381601095199585,147,"14.341054,15.746606","1.045771,0.831364,0.807647,0.824023"
6,180,18.0,25.714285714285715,0.941480149401,7.201237387127346,3.800384998321533,165,"16.173029,17.081041","1.042886,0.810605,0.786238,0.805956"
7,196,16.0,24.5,0.9320653479069899,4.973177850246429,4.184624433517456,181,"17.591055,18.437008","1.039279,0.795141,0.770490,0.793268"
8,221,25.0,24.555555555555557,0.9227446944279201,6.72105357170105,4.807774782180786,206,"19.468391,20.779690","1.029558,0.770870,0.743132,0.772799"
9,233,12.0,23.3,0.9135172474836408,9.231746792793274,5.110972881317139,218,"20.387909,21.774944","1.027888,0.760070,0.729794,0.763272"
10,296,63.0,26.90909090909091,0.9043820750088044,7.679482849817427,6.513286590576172,281,"25.449875,26.848238","1.019714,0.691558,0.668755,0.713419"
11,316,20.0,26.333333333333332,0.8953382542587164,9.420707070827484,7.032514810562134,301,"27.065258,28.094278","1.003724,0.665515,0.668170,0.697681"
12,330,14.0,25.384615384615383,0.8863848717161292,5.340099739176886,7.3578410148620605,315,"28.179150,29.233360","0.990426,0.647515,0.664198,0.688076"
13,364,34.0,26.0,0.8775210229989678,12.455930667765001,8.106019735336304,349,"30.881483,31.800920","0.951133,0.615211,0.656139,0.669994"
14,385,21.0,25.666666666666668,0.8687458127689782,12.618554819197882,8.570382356643677,370,"32.320667,33.101383","0.929819,0.595431,0.661214,0.663191"
15,462,77.0,28.875,0.8600583546412884,13.393733481308082,10.310754537582397,447,"37.481892,38.656261","0.846190,0.519352,0.669059,0.637873"
16,515,53.0,30.294117647058822,0.8514577710948755,12.958874904884482,11.488863468170166,500,"41.106953,42.081207","0.791906,0.476104,0.676576,0.620222"
17,537,22.0,29.833333333333332,0.8429431933839268,10.183064477010207,11.966073274612427,522,"43.242771,44.103855","0.752986,0.452074,0.672247,0.603095"
18,553,16.0,29.105263157894736,0.8345137614500875,13.55492515861988,12.323259592056274,538,"44.835995,46.020950","0.729162,0.430225,0.668284,0.583096"
19,637,84.0,31.85,0.8261686238355866,19.963948106481915,14.19540786743164,622,"49.002411,51.214264","0.621131,0.359808,0.703579,0.539644"
20,681,44.0,32.42857142857143,0.8179069375972308,26.124390252611853,15.18137264251709,666,"50.536251,52.576935","0.562746,0.345493,0.724898,0.525978"
21,725,44.0,32.95454545454545,0.8097278682212584,15.562378746542064,16.150296926498413,710,"52.975933,54.815849","0.534540,0.335082,0.728118,0.518066"
22,738,13.0,32.08695652173913,0.8016305895390459,11.72877441919767,16.445380926132202,723,"53.471409,55.679394","0.526381,0.338546,0.729679,0.518162"
23,749,11.0,31.208333333333332,0.7936142836436554,25.276619824496183,16.69329261779785,734,"53.928917,56.251144","0.519750,0.338146,0.732341,0.516312"
24,834,85.0,33.36,0.7856781408072188,21.262695952022778,18.648924827575684,819,"57.502796,59.578758","0.452815,0.367112,0.760903,0.501702"
25,876,42.0,33.69230769230769,0.7778213593991467,13.522123666036697,19.611497163772583,861,"59.964252,61.803635","0.417043,0.370698,0.756371,0.485186"
26,914,38.0,33.851851851851855,0.7700431458051551,13.482139835232182,20.47344946861267,899,"62.269997,63.692047","0.400315,0.373960,0.762755,0.477178"
27,962,48.0,34.357142857142854,0.7623427143471035,17.397387457390625,21.555412530899048,947,"64.810066,66.442535","0.335074,0.383908,0.761043,0.458217"
28,998,36.0,34.41379310344828,0.7547192872036326,24.030352744791244,22.387155771255493,983,"66.544914,68.059280","0.316145,0.395858,0.779915,0.452868"
29,1010,12.0,33.666666666666664,0.7471720943315961,14.841721733411154,22.64953851699829,995,"67.121742,68.695129","0.303406,0.394513,0.776061,0.450148"
