episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,80,10.0,10.0,1.0,0.44391244649887085,0.28298401832580566,7,"1.691924,1.690780","0.993944,0.993346,0.992992,0.993051",,
1,87,11.0,10.5,0.99,0.44391244649887085,0.284625768661499,7,"1.691924,1.690780","0.993944,0.993346,0.992992,0.993051",,
2,102,13.0,11.333333333333334,0.9801,0.44133250249756706,0.3516218662261963,9,"1.881547,1.889605","0.993282,0.991413,0.991131,0.991102",,
3,102,13.0,11.75,0.9801,0.44133250249756706,0.3523683547973633,9,"1.881547,1.889605","0.993282,0.991413,0.991131,0.991102",,
4,116,15.0,12.4,0.96059601,0.4437747925519943,0.39077329635620117,10,"1.975581,1.986969","0.993107,0.990424,0.990213,0.990125",,
5,116,15.0,12.833333333333334,0.96059601,0.4437747925519943,0.39077329635620117,10,"1.975581,1.986969","0.993107,0.990424,0.990213,0.990125",,
6,210,13.0,12.857142857142858,0.941480149401,0.4515132918953896,0.7456264495849609,20,"2.912000,2.912079","0.998369,0.980101,0.980647,0.979801",,
7,225,13.0,12.875,0.9320653479069899,0.4478527832598913,0.8023757934570312,21,"3.004009,3.008166","0.998918,0.979080,0.979683,0.978727",,
8,240,19.0,13.555555555555555,0.9227446944279201,0.45724716005118,0.9014458656311035,23,"3.187389,3.204066","1.000057,0.977092,0.977671,0.976487",,
9,263,23.0,14.5,0.9135172474836408,0.4645950520038605,0.9880871772766113,25,"3.368002,3.402478","1.000948,0.975030,0.975563,0.974264",,
10,270,35.0,16.363636363636363,0.9043820750088044,0.4660528084406486,1.0383174419403076,26,"3.459075,3.500172","1.001596,0.973988,0.974451,0.973110",,
11,309,26.0,17.166666666666668,0.8953382542587164,0.4723160647112748,1.1655666828155518,29,"3.725986,3.799177","1.004065,0.970762,0.971074,0.969645",,
12,316,13.0,16.846153846153847,0.8863848717161292,0.4723030318816503,1.202775478363037,30,"3.812175,3.900161","1.005087,0.969689,0.969936,0.968523",,
13,387,34.0,18.071428571428573,0.8775210229989678,0.4897529917794305,1.5013680458068848,37,"4.441758,4.569642","1.010803,0.961926,0.962350,0.960252",,
14,394,16.0,17.933333333333334,0.8687458127689782,0.49165751275263336,1.543828010559082,38,"4.531645,4.662790","1.011584,0.960742,0.961210,0.959067",,
