episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta
0,31,31.0,31.0,,-0.007667044643312693,0.7848114967346191,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
1,59,28.0,29.5,,-0.007667044643312693,0.7848114967346191,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
2,76,17.0,25.333333333333332,,-0.007667044643312693,0.7848114967346191,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
3,97,21.0,24.25,,-0.007667044643312693,0.7858154773712158,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
4,153,56.0,30.6,,-0.007667044643312693,0.7858154773712158,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
5,186,33.0,31.0,,-0.007667044643312693,0.7863225936889648,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
6,202,16.0,28.857142857142858,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
7,220,18.0,27.5,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
8,245,25.0,27.22222222222222,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
9,266,21.0,26.6,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
10,281,15.0,25.545454545454547,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
11,302,21.0,25.166666666666668,,-0.007667044643312693,0.7873303890228271,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
12,330,28.0,25.384615384615383,,-0.007667044643312693,0.7889084815979004,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
13,349,19.0,24.928571428571427,,-0.007667044643312693,0.7889084815979004,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
14,362,13.0,24.133333333333333,,-0.007667044643312693,0.7889084815979004,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
15,394,32.0,24.625,,-0.007667044643312693,0.7899210453033447,1,,"0.990000,1.010000,0.990000,1.010000",,,0.684454,1.064364
16,405,11.0,23.823529411764707,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
17,436,31.0,24.22222222222222,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
18,468,32.0,24.63157894736842,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
19,524,56.0,26.2,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
20,538,14.0,25.61904761904762,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
21,549,11.0,24.954545454545453,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
22,567,18.0,24.652173913043477,,-0.009858287638053298,1.7072393894195557,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
23,603,36.0,25.125,,-0.009858287638053298,1.708237648010254,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
24,652,49.0,26.08,,-0.009858287638053298,1.708237648010254,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
25,670,18.0,25.76923076923077,,-0.009858287638053298,1.708237648010254,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
26,693,23.0,25.666666666666668,,-0.009858287638053298,1.708237648010254,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
27,739,46.0,26.392857142857142,,-0.009858287638053298,1.708237648010254,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
28,766,27.0,26.413793103448278,,-0.009858287638053298,1.7087469100952148,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
29,799,33.0,26.633333333333333,,-0.009858287638053298,1.7087469100952148,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
30,810,11.0,26.129032258064516,,-0.009858287638053298,1.7087469100952148,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
31,827,17.0,25.84375,,-0.009858287638053298,1.7087469100952148,2,,"0.980456,1.015430,0.990523,1.016396",,,0.681850,1.130667
32,840,13.0,25.454545454545453,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
33,860,20.0,25.294117647058822,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
34,898,38.0,25.65714285714286,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
35,918,20.0,25.5,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
36,932,14.0,25.18918918918919,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
37,946,14.0,24.894736842105264,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
38,957,11.0,24.53846153846154,,-0.013077335897833109,2.3181939125061035,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
39,967,10.0,24.175,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
40,993,26.0,24.21951219512195,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
41,1006,13.0,23.952380952380953,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
42,1028,22.0,23.906976744186046,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
43,1048,20.0,23.818181818181817,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
44,1082,34.0,24.044444444444444,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
45,1096,14.0,23.82608695652174,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
46,1111,15.0,23.638297872340427,,-0.013077335897833109,2.3191936016082764,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
47,1121,10.0,23.354166666666668,,-0.013077335897833109,2.320199728012085,3,,"0.971493,1.023045,0.987414,1.024433",,,0.681082,1.198032
48,1149,28.0,23.448979591836736,,-0.011509655392728746,3.027479887008667,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
49,1168,19.0,23.36,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",402.4,195.2,0.676831,1.264698
50,1182,14.0,23.176470588235293,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
51,1206,24.0,23.192307692307693,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
52,1223,17.0,23.07547169811321,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
53,1242,19.0,23.0,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
54,1267,25.0,23.036363636363635,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
55,1283,16.0,22.910714285714285,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
56,1293,10.0,22.68421052631579,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
57,1351,58.0,23.29310344827586,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
58,1373,22.0,23.271186440677965,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
59,1424,51.0,23.733333333333334,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
60,1446,22.0,23.704918032786885,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
61,1462,16.0,23.580645161290324,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
62,1471,9.0,23.349206349206348,,-0.011509655392728746,3.028494119644165,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
63,1486,15.0,23.21875,,-0.011509655392728746,3.0300097465515137,4,,"0.962148,1.031512,0.982464,1.033011",,,0.676831,1.264698
64,1508,22.0,23.2,,-0.011088351439684629,4.056999206542969,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
65,1559,51.0,23.62121212121212,,-0.011088351439684629,4.056999206542969,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
66,1599,40.0,23.865671641791046,,-0.011088351439684629,4.058019638061523,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
67,1618,19.0,23.794117647058822,,-0.011088351439684629,4.058019638061523,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
68,1648,30.0,23.884057971014492,,-0.011088351439684629,4.058019638061523,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
69,1685,37.0,24.071428571428573,,-0.011088351439684629,4.058019638061523,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
70,1709,24.0,24.070422535211268,,-0.011088351439684629,4.058019638061523,5,,"0.954922,1.038134,0.979336,1.040832",,,0.680707,1.333081
