episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward,entropy,beta
0,28,28.0,28.0,,0.007537837140262127,0.18031096458435059,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
1,65,37.0,32.5,,0.007537837140262127,0.18031096458435059,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
2,86,21.0,28.666666666666668,,0.007537837140262127,0.18031096458435059,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
3,107,21.0,26.75,,0.007537837140262127,0.18031096458435059,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
4,147,40.0,29.4,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
5,187,40.0,31.166666666666668,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
6,203,16.0,29.0,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
7,221,18.0,27.625,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
8,231,10.0,25.666666666666668,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
9,277,46.0,27.7,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
10,309,32.0,28.09090909090909,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
11,327,18.0,27.25,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
12,344,17.0,26.46153846153846,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
13,359,15.0,25.642857142857142,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
14,375,16.0,25.0,,0.007537837140262127,0.18231749534606934,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
15,401,26.0,25.0625,,0.007537837140262127,0.18331694602966309,1,,"0.990001,0.990000,1.009999,1.010000",,,0.681596,1.064364
16,413,12.0,24.294117647058822,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
17,428,15.0,23.77777777777778,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
18,443,15.0,23.31578947368421,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
19,470,27.0,23.5,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
20,502,32.0,23.904761904761905,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
21,512,10.0,23.272727272727273,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
22,532,20.0,23.130434782608695,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
23,561,29.0,23.375,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
24,607,46.0,24.28,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
25,623,16.0,23.96153846153846,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
26,638,15.0,23.62962962962963,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
27,669,31.0,23.892857142857142,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
28,700,31.0,24.137931034482758,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
29,736,36.0,24.533333333333335,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
30,754,18.0,24.322580645161292,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
31,779,25.0,24.34375,,0.0075296675786376,0.3437538146972656,2,,"0.980346,0.980279,1.017597,1.019938",,,0.682990,1.121479
32,814,35.0,24.666666666666668,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
33,846,32.0,24.88235294117647,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
34,864,18.0,24.685714285714287,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
35,889,25.0,24.694444444444443,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
36,917,28.0,24.783783783783782,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
37,930,13.0,24.473684210526315,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
38,957,27.0,24.53846153846154,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
39,975,18.0,24.375,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
40,1002,27.0,24.4390243902439,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
41,1018,16.0,24.238095238095237,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
42,1058,40.0,24.6046511627907,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
43,1073,15.0,24.386363636363637,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
44,1098,25.0,24.4,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
45,1112,14.0,24.17391304347826,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
46,1124,12.0,23.914893617021278,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
47,1144,20.0,23.833333333333332,,0.00401536204541723,0.49302077293395996,3,,"0.970764,0.973426,1.026070,1.029438",,,0.683219,1.173267
48,1155,11.0,23.571428571428573,,0.005364911514334381,0.7310135364532471,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
49,1167,12.0,23.34,,0.005364911514334381,0.7310135364532471,4,,"0.961040,0.965361,1.034214,1.036738",9.2,0.7483314773547882,0.680782,1.214374
50,1189,22.0,23.313725490196077,,0.005364911514334381,0.7310135364532471,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
51,1209,20.0,23.25,,0.005364911514334381,0.7310135364532471,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
52,1231,22.0,23.22641509433962,,0.005364911514334381,0.7310135364532471,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
53,1275,44.0,23.61111111111111,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
54,1292,17.0,23.490909090909092,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
55,1324,32.0,23.642857142857142,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
56,1337,13.0,23.45614035087719,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
57,1364,27.0,23.517241379310345,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
58,1383,19.0,23.440677966101696,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
59,1447,64.0,24.116666666666667,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
60,1460,13.0,23.934426229508198,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
61,1482,22.0,23.903225806451612,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
62,1508,26.0,23.936507936507937,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
63,1530,22.0,23.90625,,0.005364911514334381,0.7319855690002441,4,,"0.961040,0.965361,1.034214,1.036738",,,0.680782,1.214374
64,1552,22.0,23.876923076923077,,0.0052346249110996725,0.8934681415557861,5,,"0.951535,0.957593,1.042839,1.043361",,,0.680105,1.262295
