episode,total_env_steps,episode_reward,avg_reward_100,epsilon,mean_loss,wall_clock_s,grad_steps,w,lam,eval_mean_reward,eval_std_reward
0,18,18.0,18.0,1.0,,0.0038607120513916016,0,"1.000000,1.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000",,
1,36,18.0,18.0,0.99,0.5086266100406647,0.8381209373474121,2,"1.199784,1.197798","1.001958,0.998000,0.998004,1.001994,1.001877,0.997999,0.998023,0.999713,0.998019,0.998118,1.002000,1.001882,0.998006,1.001995,0.998000,0.998061,1.001995,1.001960,0.998000,0.998028",,
2,49,13.0,16.333333333333332,0.9801,0.45317769050598145,0.9235131740570068,3,"1.290934,1.296471","1.002794,0.997000,0.997004,1.002969,1.002709,0.997007,0.997086,1.000547,0.997350,0.997186,1.002955,1.002339,0.997032,1.002980,0.997037,0.997093,1.002997,1.002916,0.997004,0.997043",,
3,71,22.0,17.75,0.9702989999999999,0.5037507315476736,1.1990456581115723,6,"1.580019,1.584397","1.005513,0.994128,0.994062,1.005913,1.001235,0.994146,0.994594,1.003229,0.995003,0.994297,1.005650,1.004665,0.994071,1.005258,0.994181,0.995913,1.005857,1.005784,0.994107,0.994291",,
4,92,21.0,18.4,0.96059601,0.40857502818107605,1.3731718063354492,8,"1.767840,1.777961","1.007432,0.992234,0.992109,1.007632,1.000636,0.992366,0.993090,1.005076,0.993742,0.992350,1.007442,1.005039,0.992086,1.006885,0.992291,0.994674,1.007739,1.007667,0.992185,0.992377",,
5,149,57.0,24.833333333333332,0.9509900498999999,0.5822142481803894,1.8450231552124023,13,"2.250373,2.263998","1.011650,0.987190,0.987843,1.012331,0.998387,0.987516,0.989249,1.007726,0.991183,0.987473,1.011503,1.007115,0.987312,1.011437,0.988287,0.991675,1.012262,1.012606,0.988103,0.987500",,
6,160,11.0,22.857142857142858,0.9414801494009999,0.5084535330533981,2.0202386379241943,15,"2.444013,2.462438","1.013220,0.985105,0.986244,1.014315,0.997024,0.985507,0.987825,1.008928,0.990185,0.985453,1.012713,1.008148,0.985274,1.013106,0.987237,0.990142,1.013789,1.014647,0.987132,0.985440",,
7,245,85.0,30.625,0.9320653479069899,0.5612054876983166,2.7029671669006348,23,"3.193150,3.282230","1.020202,0.976485,0.979833,1.021140,0.991446,0.977658,0.982378,1.015350,0.993107,0.976838,1.016393,1.010192,0.977926,1.020432,0.984209,0.984865,1.020181,1.022818,0.984186,0.977300",,
8,255,10.0,28.333333333333332,0.92274469442792,0.5916282534599304,2.779165506362915,24,"3.287342,3.386165","1.020896,0.975355,0.979009,1.022046,0.991190,0.976611,0.981889,1.016030,0.993703,0.975744,1.016806,1.010231,0.977053,1.021477,0.983890,0.983965,1.020917,1.023829,0.983918,0.976232",,
9,269,14.0,26.9,0.9135172474836407,0.7163547277450562,2.862797975540161,25,"3.381282,3.489356","1.021477,0.974194,0.978195,1.022998,0.990961,0.975517,0.981512,1.016542,0.994097,0.974649,1.017185,1.010353,0.976207,1.022554,0.983617,0.982989,1.021719,1.024861,0.983722,0.975151",,
10,282,13.0,25.636363636363637,0.9043820750088043,0.6618877053260803,3.0213358402252197,27,"3.577893,3.691986","1.022169,0.971893,0.976501,1.025052,0.990793,0.973250,0.981154,1.017820,0.994383,0.972591,1.018363,1.011087,0.974602,1.024793,0.983059,0.980960,1.023498,1.027032,0.983357,0.973118",,
11,295,13.0,24.583333333333332,0.8953382542587163,0.6104775667190552,3.1134774684906006,28,"3.677674,3.792043","1.022491,0.970725,0.975635,1.026161,0.990800,0.972070,0.981395,1.018612,0.994508,0.971587,1.019094,1.011643,0.973762,1.025970,0.982558,0.979889,1.024477,1.028174,0.983095,0.972066",,
12,305,10.0,23.46153846153846,0.8863848717161291,0.6132843494415283,3.236768960952759,29,"3.774179,3.893101","1.022990,0.969562,0.974753,1.027265,0.990807,0.970906,0.981543,1.019301,0.994698,0.970555,1.019766,1.012157,0.972925,1.027095,0.982047,0.978789,1.025411,1.029284,0.982801,0.971017",,
13,331,26.0,23.642857142857142,0.8775210229989678,0.5872005224227905,3.470456123352051,32,"4.052463,4.205491","1.024083,0.965996,0.972373,1.030437,0.990150,0.967622,0.981855,1.021523,0.995506,0.967210,1.021362,1.012927,0.970615,1.030206,0.981045,0.975370,1.028231,1.032462,0.982541,0.967706",,
14,340,9.0,22.666666666666668,0.8687458127689781,0.6833010911941528,3.5894460678100586,33,"4.143404,4.310602","1.024327,0.964797,0.971468,1.031546,0.989943,0.966528,0.982067,1.022307,0.995834,0.966074,1.021740,1.013253,0.969882,1.031205,0.980607,0.974162,1.029267,1.033526,0.982425,0.966558",,
15,364,24.0,22.75,0.8600583546412883,0.7388398945331573,3.785515546798706,35,"4.326969,4.517947","1.024938,0.962396,0.969486,1.033862,0.989070,0.964255,0.982223,1.023535,0.996263,0.963820,1.022424,1.014002,0.968304,1.033134,0.979508,0.971665,1.031538,1.035762,0.981849,0.964228",,
16,375,11.0,22.058823529411764,0.8514577710948754,0.7767715454101562,3.890399932861328,36,"4.420176,4.618427","1.025311,0.961193,0.968409,1.035021,0.988475,0.963081,0.982314,1.024130,0.996267,0.962683,1.022909,1.014413,0.967466,1.034142,0.978857,0.970396,1.032721,1.036907,0.981380,0.963059",,
17,409,34.0,22.72222222222222,0.8429431933839266,0.7625503341356913,4.172513961791992,39,"4.704747,4.913805","1.025804,0.957511,0.965193,1.038606,0.986737,0.959643,0.982028,1.026253,0.996336,0.959188,1.024737,1.015588,0.964965,1.037359,0.977485,0.966588,1.036113,1.040312,0.980438,0.959468",,
18,428,19.0,22.526315789473685,0.8345137614500874,0.6315743327140808,4.375364303588867,41,"4.893990,5.116874","1.026497,0.954895,0.963322,1.040925,0.985498,0.957375,0.981284,1.027820,0.996825,0.956697,1.026301,1.016092,0.963117,1.039493,0.976996,0.964117,1.038288,1.042502,0.980039,0.956877",,
19,438,10.0,21.9,0.8261686238355865,0.7167672514915466,4.498279809951782,42,"4.987307,5.220891","1.026973,0.953572,0.962289,1.042122,0.984851,0.956242,0.980671,1.028640,0.997076,0.955406,1.027181,1.016511,0.962169,1.040489,0.976892,0.962861,1.039412,1.043616,0.979881,0.955529",,
20,453,15.0,21.571428571428573,0.8179069375972307,0.9310651421546936,4.700903654098511,44,"5.182780,5.417864","1.027910,0.950934,0.960357,1.044602,0.983092,0.953814,0.979555,1.030266,0.997000,0.952838,1.028945,1.017865,0.960218,1.042593,0.976580,0.960350,1.041868,1.046018,0.979482,0.952943",,
21,475,22.0,21.59090909090909,0.8097278682212583,0.7416407465934753,4.884105920791626,46,"5.377792,5.616838","1.029037,0.948372,0.958234,1.047025,0.981214,0.951394,0.978476,1.032236,0.996889,0.950142,1.030898,1.018953,0.958153,1.044433,0.976067,0.957780,1.044271,1.048431,0.978799,0.950288",,
22,489,14.0,21.26086956521739,0.8016305895390458,0.7679810523986816,4.995189189910889,47,"5.474370,5.714896","1.029563,0.947165,0.957191,1.048231,0.980404,0.950209,0.977777,1.033207,0.996723,0.948812,1.031778,1.019375,0.957195,1.045323,0.976097,0.956540,1.045337,1.049611,0.978661,0.948994",,
23,509,20.0,21.208333333333332,0.7936142836436553,1.0541051030158997,5.20211386680603,49,"5.668931,5.913990","1.030267,0.944706,0.955563,1.050754,0.978675,0.947728,0.976672,1.035177,0.996251,0.946261,1.033663,1.020457,0.955320,1.047368,0.976069,0.954085,1.047564,1.051995,0.978534,0.946468",,
24,542,33.0,21.68,0.7856781408072188,0.8359800577163696,5.561572551727295,53,"6.051421,6.318076","1.031684,0.939481,0.951811,1.055997,0.975549,0.942593,0.974507,1.038748,0.994963,0.941028,1.037891,1.022339,0.951807,1.051917,0.975831,0.948662,1.051798,1.056779,0.978060,0.941075",,
25,552,10.0,21.23076923076923,0.7778213593991465,0.804622232913971,5.682356595993042,54,"6.140623,6.423034","1.032133,0.938116,0.950733,1.057207,0.974859,0.941398,0.974088,1.039687,0.995047,0.939638,1.039058,1.022525,0.950965,1.052948,0.975595,0.947241,1.052770,1.057865,0.977712,0.939657",,
26,564,12.0,20.88888888888889,0.7700431458051551,0.8801573514938354,5.7915027141571045,55,"6.226739,6.530072","1.032680,0.936703,0.949775,1.058411,0.974363,0.940179,0.973634,1.040433,0.995141,0.938302,1.040166,1.022584,0.950196,1.054073,0.975404,0.945783,1.053691,1.058902,0.977468,0.938211",,
27,579,15.0,20.678571428571427,0.7623427143471035,0.803241491317749,5.88626766204834,56,"6.313134,6.634341","1.033209,0.935437,0.949062,1.059570,0.973940,0.939020,0.973144,1.041233,0.995138,0.937065,1.041360,1.022572,0.949476,1.055209,0.975233,0.944410,1.054587,1.059897,0.977199,0.936870",,
28,611,32.0,21.06896551724138,0.7547192872036325,1.0653037577867508,6.275213956832886,60,"6.667602,7.055712","1.034681,0.930585,0.945529,1.064407,0.971177,0.934320,0.970599,1.044668,0.994366,0.931921,1.046171,1.021956,0.946826,1.059565,0.973847,0.938959,1.058481,1.064085,0.975094,0.931531",,
